Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,PAC,1.0,0.5,27000,1m,25.0,336,478.5033002453727,0.3937682588114975,-0.0015339619626366114,0.2091514891328284,0.9111866448169205,0.8900773476495307,0.9079078116625965,0.9125001013488384,0.9034950868869885
Persistence_P,PAC,1.0,0.5,0,1m,,336,527.0395232849893,0.43370951736874425,-0.0009240674233288646,0.2349812515565581,0.8922555839996816,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,1.0,27000,1m,25.0,336,587.3770582281787,0.48336227015722905,-0.003865132902217463,0.2653885627015706,0.8661734254315236,0.7257301488618696,0.7804651988774488,0.8179724891995104,0.7747226123129428
Persistence_P,PAC,1.0,1.0,0,1m,,336,752.5986540758117,0.6193258467545433,-0.003054334592845328,0.36568490797546127,0.7802973593612352,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,3.0,27000,1m,25.0,336,753.504950495917,0.6200716530282491,-0.0063061902403378734,0.3593854003181725,0.7797678989231718,0.45365494748020835,0.5054774810882268,0.5432114849615706,0.5007813045100019
Persistence_P,PAC,1.0,3.0,0,1m,,336,1490.679562764536,1.2267048013559696,-0.04119266349810115,0.7921998918216393,0.13806007665133613,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,6.0,27000,1m,50.0,336,834.8130766621064,0.6869814512496367,-0.012677782985300205,0.3981424851500357,0.7296745785069014,0.35039464435875944,0.3899564615651205,0.41860324758372724,0.38631811783586906
Persistence_P,PAC,1.0,6.0,0,1m,,336,2140.7853412955883,1.7616875701774077,-0.2790754207693084,1.136268751706115,-0.7776843408716589,1.0,1.0,1.0,1.0
ELM_rolling_1m,PAC,1.0,10.0,27000,1m,50.0,336,838.3772928045504,0.68991450350595,-0.010706907395637257,0.4005552882616268,0.727361353965297,0.3621186608593046,0.3987673142534782,0.42481669740769706,0.39523422417349324
Persistence_P,PAC,1.0,10.0,0,1m,,336,2102.4222970081046,1.7301179882245883,-0.7425574409152496,1.1061437356227717,-0.7145427166102463,1.0,1.0,1.0,1.0
