Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,PAC,1.0,0.5,27000,1y,25.0,336,465.6575880283271,0.383197310334641,0.019466781625698107,0.1924518538359738,0.9158911353219823,0.8190093999463279,0.8835344740863565,0.9195459429806235,0.874029939004436
Persistence_P,PAC,1.0,0.5,0,1y,,336,527.0395232849893,0.43370951736874425,-0.0009240674233288646,0.2349812515565581,0.8922555839996816,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,1.0,27000,1y,25.0,336,568.5338634313637,0.46785589433540525,0.020054740662957742,0.24237553755521096,0.8746220751999118,0.6627988529717371,0.755427690911195,0.8226881723284728,0.7469715720704683
Persistence_P,PAC,1.0,1.0,0,1y,,336,752.5986540758117,0.6193258467545433,-0.003054334592845328,0.36568490797546127,0.7802973593612352,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,3.0,27000,1y,100.0,336,722.1410913102168,0.5942618159491126,0.040243502300584946,0.3333638331983593,0.7977201988263021,0.42080772370695413,0.48443750712659656,0.5347673495687042,0.48000419346741835
Persistence_P,PAC,1.0,3.0,0,1y,,336,1490.679562764536,1.2267048013559696,-0.04119266349810115,0.7921998918216393,0.13806007665133613,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,6.0,27000,1y,25.0,336,803.3005205811011,0.6610492490425588,0.040332173064074175,0.3701807036475042,0.7496978967062935,0.32578622187020057,0.3752363700766697,0.41481725199454694,0.3719466146471391
Persistence_P,PAC,1.0,6.0,0,1y,,336,2140.7853412955883,1.7616875701774077,-0.2790754207693084,1.136268751706115,-0.7776843408716589,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,10.0,27000,1y,100.0,336,812.3539927447375,0.6684995006254536,0.04490779162822882,0.37653170795782853,0.7440241222079702,0.3404003438538996,0.3863895440515327,0.4216667958437108,0.3828188945830477
Persistence_P,PAC,1.0,10.0,0,1y,,336,2102.4222970081046,1.7301179882245883,-0.7425574409152496,1.1061437356227717,-0.7145427166102463,1.0,1.0,1.0,1.0
