Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,PAC,1.0,0.5,27000,1y,25.0,336,568.13735442527,0.31423008149936393,0.020050276368409888,0.1919896513333852,0.8833603682647868,0.8185677311797351,0.8835263219825339,0.9195458033571421,0.873879952173137
Persistence_P,PAC,1.0,0.5,0,1y,,336,643.0338749279518,0.3556544651598686,-0.00035224344167961104,0.23454339087699694,0.8505805426828772,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,1.0,27000,1y,25.0,336,693.6637676881082,0.3836572627305758,0.02063857192571446,0.24194190901649448,0.8261248684753477,0.662270557052412,0.7554185399828761,0.8226880279709151,0.7467923750020677
Persistence_P,PAC,1.0,1.0,0,1y,,336,918.2509178340159,0.5078737711934799,-0.002483729875733564,0.3653218559093323,0.6953071993170368,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,3.0,27000,1y,100.0,336,881.0882090679172,0.48731951452763983,0.04083888865909342,0.3329822820721814,0.7194706990813788,0.4203892028963649,0.48443102344866634,0.5347672422948595,0.4798624895466303
Persistence_P,PAC,1.0,3.0,0,1y,,336,1818.8104527151188,1.0059626467735494,-0.04064388736315912,0.7920809568324445,-0.19540297800667306,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,6.0,27000,1y,25.0,336,980.1145514697422,0.5420898185767153,0.040927610173549005,0.3698202247629504,0.6528692195529366,0.3254466352120577,0.3752318136501893,0.41481718442666604,0.371831877762971
Persistence_P,PAC,1.0,6.0,0,1y,,336,2612.0241296583026,1.4446797922152723,-0.2786627975142358,1.1363467455178307,-1.4654364912799016,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,10.0,27000,1y,100.0,336,991.1610888495504,0.5481995283398664,0.04550584760614053,0.3761748640888464,0.6450003386493361,0.34005906539822955,0.3863850015489665,0.4216667287705751,0.3827035985725904
Persistence_P,PAC,1.0,10.0,0,1y,,336,2565.216260662594,1.4187909109882806,-0.7424100929265915,1.106204487294944,-1.3778662289228434,1.0,1.0,1.0,1.0
