Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,PAC,1.0,0.5,27000,6m,10.0,336,574.2280748375316,0.31759878724741475,-0.00019909245722103054,0.19714800119436382,0.8808460910102486,0.8405608892119897,0.8929981719887937,0.9223177847798366,0.8852922819935399
Persistence_P,PAC,1.0,0.5,0,6m,,336,643.0338749279518,0.3556544651598686,-0.00035224344167961104,0.23454339087699694,0.8505805426828772,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,1.0,27000,6m,25.0,336,703.3438650564543,0.38901121061181354,0.0018966999209833802,0.2500464394857835,0.8212381428519975,0.684455187777874,0.765960426933754,0.8260689690899027,0.7588281946005102
Persistence_P,PAC,1.0,1.0,0,6m,,336,918.2509178340159,0.5078737711934799,-0.002483729875733564,0.3653218559093323,0.6953071993170368,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,3.0,27000,6m,25.0,336,892.6444120173275,0.49371111431654974,-0.01115112477927277,0.34617027526586663,0.7120636919267836,0.4370390075406079,0.49078473828033514,0.5324160681723324,0.48674660466442515
Persistence_P,PAC,1.0,3.0,0,6m,,336,1818.8104527151188,1.0059626467735494,-0.04064388736315912,0.7920809568324445,-0.19540297800667306,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,6.0,27000,6m,50.0,336,1010.0685712677353,0.5586570342491975,-0.020727473011637642,0.390108046835702,0.6313271411569206,0.34330018401023416,0.38669955602587386,0.4193169097994586,0.3831055499451889
Persistence_P,PAC,1.0,6.0,0,6m,,336,2612.0241296583026,1.4446797922152723,-0.2786627975142358,1.1363467455178307,-1.4654364912799016,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,10.0,27000,6m,25.0,336,1025.918343395706,0.5674233565984063,-0.0272238405047055,0.39845588714070146,0.6196660965741926,0.36020093185037166,0.39993444573390935,0.4281344028366759,0.39608992680698557
Persistence_P,PAC,1.0,10.0,0,6m,,336,2565.216260662594,1.4187909109882806,-0.7424100929265915,1.106204487294944,-1.3778662289228434,1.0,1.0,1.0,1.0
