Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,humidity,1.0,0.5,0,9.260307058144013,0.1304777572700793,0.00016514302728555356,0.09917116447581856,0.4100693272805499,2.743655021879673,2.426770302692212,2.1571456930474606,2.442523672539782
Persistence_P,humidity,1.0,0.5,0,3.815897634757936,0.053766010374088465,1.818826467751103e-05,0.03614563918749398,0.8998286252632219,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,0.5,0,13.16129938064376,0.18544275207766822,0.0004970385516596288,0.14080838917019872,-0.1916473147625406,3.8955844283123646,3.449070347370221,3.069945944814971,3.4715335734991855
BLEND_corre,humidity,1.0,1.0,0,9.531587183749632,0.13430060054147908,3.6647270043978726e-07,0.10219379642031139,0.37499487781606666,1.8723783823897253,1.7351839328668484,1.6131492790721738,1.7402371981095826
Persistence_P,humidity,1.0,1.0,0,5.493127848412974,0.07739848093198361,3.734312943482154e-05,0.054579671171956695,0.7924166380608909,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,1.0,0,13.16141529912129,0.18544508323454778,0.0004960841149994773,0.1408106342415761,-0.1916763315310559,2.579909904512677,2.3959783318940535,2.2320068466635283,2.402631694356753
BLEND_corre,humidity,1.0,3.0,0,10.250474482075543,0.1444327069381509,-0.00032448146267786195,0.11013553604145637,0.2771526558575226,1.1469432028094746,1.1308129384880865,1.114872540915365,1.1308762274043087
Persistence_P,humidity,1.0,3.0,0,9.064695081912113,0.12772466782283154,0.00010882480167862192,0.09602527463581093,0.4347181364566257,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,3.0,0,13.162061374587818,0.1854579665109192,0.0004884773619041608,0.14082191885210554,-0.1918084909695532,1.466508889312653,1.452013692203688,1.4380503881637854,1.4521909898933754
BLEND_corre,humidity,1.0,6.0,0,11.00268708171409,0.15503547114735497,-0.00116798578194934,0.11847998255905275,0.16721025375203746,0.8985520059611102,0.9214527688442069,0.938985820223359,0.9196635316762253
Persistence_P,humidity,1.0,6.0,0,11.940587139930066,0.1682511316796177,0.00012011718915135056,0.13185656675745114,0.01918023145977088,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,6.0,0,13.162629383118443,0.1854705521291507,0.0004662994175632152,0.1408272625801472,-0.19185425728785765,1.0680337433568823,1.1023435639192138,1.1277893533879997,1.099388886888032
BLEND_corre,humidity,1.0,10.0,0,11.684044937497266,0.16464265497220806,-0.0016185833881318867,0.1260694374319241,0.060871288481494146,0.7864676955093731,0.8293067084368565,0.8628285727340048,0.8262009922267448
Persistence_P,humidity,1.0,10.0,0,14.088930933068523,0.19853047527197712,0.00010374821180603722,0.16029830360708258,-0.36550961101444024,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,10.0,0,13.163389462449487,0.18548845037180237,0.00043678940340141214,0.14083527896397474,-0.19199420131980283,0.878582466531805,0.9343071894513535,0.9752142622022166,0.9293679727284584
