Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,humidity,1.0,0.5,27000,1m,10.0,1.0,1008,3.0040274580126782,0.042608719749376474,0.0018604174544103558,0.030411902599475477,0.9376355986332335,1.7976781709776393,1.5953549976253785,1.4637093934550303,1.6189141873526827
Persistence_P,humidity,1.0,0.5,0,1m,,,1008,1.882983701109817,0.026707986506324822,2.7503159963296573e-06,0.01691732318412502,0.9754968406907755,1.0,1.0,1.0,1.0
ELM_rolling_1m,humidity,1.0,1.0,27000,1m,10.0,1.0,1008,4.030308090448512,0.057165345633415486,0.0014384230359185382,0.041216439089575306,0.8877450619111574,1.4432138785275024,1.3099549901260052,1.2149136775180518,1.3226941820571865
Persistence_P,humidity,1.0,1.0,0,1m,,,1008,3.0766767719712522,0.04363916780676313,5.856555239243147e-06,0.02855878792658788,0.9345826861197145,1.0,1.0,1.0,1.0
ELM_rolling_1m,humidity,1.0,3.0,27000,1m,50.0,1.0,1008,6.269528578467166,0.08892614661296705,0.00037913095574263595,0.06673608425394878,0.7283568645296769,1.1898088413798265,1.1166207042073253,1.0623875815102817,1.1229390423658112
Persistence_P,humidity,1.0,3.0,0,1m,,,1008,5.61473430937126,0.0796386331346906,1.740788242382773e-05,0.056089753188045446,0.7821350422243833,1.0,1.0,1.0,1.0
ELM_rolling_1m,humidity,1.0,6.0,27000,1m,50.0,1.0,1008,8.118106107963678,0.11514612062792466,-0.000581563017585196,0.08848153713986687,0.5445524093897709,1.1144977298203822,1.062385166107475,1.0267313054346812,1.0678714004541794
Persistence_P,humidity,1.0,6.0,0,1m,,,1008,7.6413963287044036,0.10838453350192583,3.950748037080604e-05,0.07939140185967626,0.5964713144474166,1.0,1.0,1.0,1.0
ELM_rolling_1m,humidity,1.0,10.0,27000,1m,50.0,0.75,1008,9.772236863796202,0.13860808786663917,-0.001593744258531554,0.10817001231099671,0.34004103605842273,1.065126234776306,1.0321012613926117,1.0106213480196442,1.0359496147295206
Persistence_P,humidity,1.0,10.0,0,1m,,,1008,9.468292724117541,0.13429698523923478,5.853319508651809e-05,0.10155604920736384,0.3804557731392514,1.0,1.0,1.0,1.0
