Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_m_est,c_welsch,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,humidity,1.0,0.5,0,,,,,3.7837868677295514,0.053313569559785126,1.592535927501605e-05,0.03642095840479439,0.9015074155398762,1.0076169414482417,0.991585003031555,0.9854464652563409,0.9948828032453791
ELM,humidity,1.0,0.5,75000,500.0,100.0,25.0,11.984308616454433,4.773838148603642,0.06726339540246203,-0.0001570144017756293,0.05011163849204461,0.8432218325558216,1.3863813068045765,1.2510393636139754,1.1509408274504904,1.2627871659563474
Persistence_P,humidity,1.0,0.5,0,,,,,3.815897634757936,0.053766010374088465,1.818826467751103e-05,0.03614563918749398,0.8998286252632219,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,0.5,0,,,,,13.16129938064376,0.18544275207766822,0.0004970385516596288,0.14080838917019872,-0.1916473147625406,3.8955844283123646,3.449070347370221,3.069945944814971,3.4715335734991855
BLEND_opti,humidity,1.0,1.0,0,,,,,5.364037260092105,0.07557958726805078,-0.00011933215144711435,0.05412241784841187,0.8020585719575736,0.9916222777871962,0.9764996206381461,0.970280343015806,0.9794674138137162
ELM,humidity,1.0,1.0,75000,500.0,100.0,25.0,15.040038725980725,6.002023498721446,0.08456884932203468,0.0007440197536717709,0.06336751629715415,0.7521730625161713,1.1610094919317266,1.092642236691341,1.0424326015142236,1.0986947767124304
Persistence_P,humidity,1.0,1.0,0,,,,,5.493127848412974,0.07739848093198361,3.734312943482154e-05,0.054579671171956695,0.7924166380608909,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,1.0,0,,,,,13.16141529912129,0.18544508323454778,0.0004960841149994773,0.1408106342415761,-0.1916763315310559,2.579909904512677,2.3959783318940535,2.2320068466635283,2.402631694356753
BLEND_opti,humidity,1.0,3.0,0,,,,,8.28064492698769,0.11667713178447235,-0.0015972533698922755,0.08841514576292553,0.5282770811397639,0.9207486893242653,0.9135050712859683,0.9150327689282333,0.916428843179489
ELM,humidity,1.0,3.0,75000,500.0,100.0,25.0,20.38338257100375,8.198115997258958,0.11551427081230244,0.00199354380200937,0.08793374753754693,0.5376330640114884,0.9157354443509563,0.9044006360034827,0.9004503368183616,0.9068621390576003
Persistence_P,humidity,1.0,3.0,0,,,,,9.064695081912113,0.12772466782283154,0.00010882480167862192,0.09602527463581093,0.4347181364566257,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,3.0,0,,,,,13.162061374587818,0.1854579665109192,0.0004884773619041608,0.14082191885210554,-0.1918084909695532,1.466508889312653,1.452013692203688,1.4380503881637854,1.4521909898933754
BLEND_opti,humidity,1.0,6.0,0,,,,,10.224555182838214,0.1440710544861285,-0.0019254234928671786,0.11141880675050989,0.28083806509559106,0.8450000594620646,0.8562857975925376,0.8713676313057743,0.8575511627867923
ELM,humidity,1.0,6.0,75000,500.0,100.0,25.0,23.448464326154944,9.462130319907498,0.13332796082536555,0.004190143876183179,0.10216301812095666,0.3840922112261913,0.7748041726953542,0.792434258803367,0.8078391901243127,0.7916925405410113
Persistence_P,humidity,1.0,6.0,0,,,,,11.940587139930066,0.1682511316796177,0.00012011718915135056,0.13185656675745114,0.01918023145977088,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,6.0,0,,,,,13.162629383118443,0.1854705521291507,0.0004662994175632152,0.1408272625801472,-0.19185425728785765,1.0680337433568823,1.1023435639192138,1.1277893533879997,1.099388886888032
BLEND_opti,humidity,1.0,10.0,0,,,,,11.392264263123979,0.1605311041218491,-0.0009733149888621241,0.1245977723476271,0.1071905422617897,0.7772869053750978,0.808596785465452,0.835430432401542,0.807104707747364
ELM,humidity,1.0,10.0,75000,500.0,100.0,25.0,25.84245544066781,10.132636476715104,0.1427813895203966,0.004719124633546957,0.11016792213729597,0.2937091094745303,0.6872681722654758,0.7191912945596539,0.7430505356366618,0.7165033341539305
Persistence_P,humidity,1.0,10.0,0,,,,,14.088930933068523,0.19853047527197712,0.00010374821180603722,0.16029830360708258,-0.36550961101444024,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,10.0,0,,,,,13.163389462449487,0.18548845037180237,0.00043678940340141214,0.14083527896397474,-0.19199420131980283,0.878582466531805,0.9343071894513535,0.9752142622022166,0.9293679727284584
