Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,humidity,3.0,1.5,75000,1m,100.0,1008,5.2228848195408055,0.07356228314140856,0.0006697039784720958,0.05512233835533409,0.8125825214878903,1.5272515838597243,1.3697454104223383,1.2524067962291188,1.3831345968370605
Persistence_P,humidity,3.0,1.5,0,1m,,1008,3.8130332686644413,0.053705077295149936,2.4459133857883996e-05,0.03609250691757475,0.9001080749153383,1.0,1.0,1.0,1.0
ELM_rolling_1m,humidity,3.0,3.0,75000,1m,100.0,1008,6.49808307527825,0.09152295016569795,0.001356105077268356,0.06899984227498178,0.7098919950736567,1.2658722221824308,1.1836890912912794,1.1219492081729174,1.1905035072155425
Persistence_P,humidity,3.0,3.0,0,1m,,1008,5.489687387580407,0.07732009261473897,4.993516824815261e-05,0.054507746568624754,0.7929456199958573,1.0,1.0,1.0,1.0
ELM_rolling_1m,humidity,3.0,9.0,75000,1m,100.0,1008,8.827386615255634,0.12433027647107998,0.0014141890791070735,0.09536461847412564,0.4646306678982949,0.9942915502129365,0.9742026318903879,0.9638702949750334,0.977454825692786
Persistence_P,humidity,3.0,9.0,0,1m,,1008,9.061140184077068,0.12762260375936757,0.00015109000960968,0.0959121280410182,0.43590156797267476,1.0,1.0,1.0,1.0
ELM_rolling_1m,humidity,3.0,18.0,75000,1m,100.0,1008,10.307259266857066,0.14517370204367433,-4.647842414053892e-06,0.11252936666002539,0.2700794438934542,0.8541712037155474,0.8635210533442516,0.8734904735102352,0.863727576856678
Persistence_P,humidity,3.0,18.0,0,1m,,1008,11.936314959477857,0.16811831220726398,0.00021263924700717045,0.13174099778889228,0.021119372949502724,1.0,1.0,1.0,1.0
ELM_rolling_1m,humidity,3.0,30.0,75000,1m,100.0,1008,11.024546201063478,0.1552764070373418,0.0003655088994644599,0.12079829989431405,0.16495354354779335,0.754226697708798,0.7828434303936626,0.8051882951194603,0.7807528077406403
Persistence_P,humidity,3.0,30.0,0,1m,,1008,14.082696198292995,0.19834924968235237,0.00022936457199960938,0.1601617925502731,-0.36257624977823544,1.0,1.0,1.0,1.0
