Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,humidity,3.0,1.5,75000,1y,100.0,1008,4.730079051874208,0.06662130728852794,-0.0010302160198475039,0.04974243551947213,0.8462815517378846,1.3781928651581343,1.240502958824425,1.1359681752168482,1.2515546663998025
Persistence_P,humidity,3.0,1.5,0,1y,,1008,3.8130332686644413,0.053705077295149936,2.4459133857883996e-05,0.03609250691757475,0.9001080749153383,1.0,1.0,1.0,1.0
ELM_rolling_1y,humidity,3.0,3.0,75000,1y,100.0,1008,5.92250298255449,0.08341613042632909,-0.0008827513501012992,0.0626004330038292,0.7590095847628227,1.148468556208168,1.0788415741037027,1.0280072791985033,1.0851058031701246
Persistence_P,humidity,3.0,3.0,0,1y,,1008,5.489687387580407,0.07732009261473897,4.993516824815261e-05,0.054507746568624754,0.7929456199958573,1.0,1.0,1.0,1.0
ELM_rolling_1y,humidity,3.0,9.0,75000,1y,100.0,1008,8.179559909609846,0.11520589153940707,-0.0009730186194050848,0.08807734064002821,0.5403269217425706,0.91831286031273,0.9027075780135924,0.8953151851554868,0.9054452078272698
Persistence_P,humidity,3.0,9.0,0,1y,,1008,9.061140184077068,0.12762260375936757,0.00015109000960968,0.0959121280410182,0.43590156797267476,1.0,1.0,1.0,1.0
ELM_rolling_1y,humidity,3.0,18.0,75000,1y,100.0,1008,9.3762842937307,0.13206128487635335,-0.0017595209402333802,0.10155551482981949,0.39598082252663214,0.7708725190662108,0.7855258784274621,0.798799282974609,0.7850658934894272
Persistence_P,humidity,3.0,18.0,0,1y,,1008,11.936314959477857,0.16811831220726398,0.00021263924700717045,0.13174099778889228,0.021119372949502724,1.0,1.0,1.0,1.0
ELM_rolling_1y,humidity,3.0,30.0,75000,1y,100.0,1008,10.078375437576584,0.141949963125859,-0.0024600588554883106,0.10973465507046357,0.3021368620517678,0.6851487693984133,0.7156566679893452,0.7392803783914692,0.713361938593076
Persistence_P,humidity,3.0,30.0,0,1y,,1008,14.082696198292995,0.19834924968235237,0.00022936457199960938,0.1601617925502731,-0.36257624977823544,1.0,1.0,1.0,1.0
