Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,pressure,1.0,0.5,149,0.16889874741084152,0.0001664354629334443,1.2629590427984542e-06,0.00011864981707954044,0.9990326915327464,0.7421849890539182,0.7857188863306065,0.8711555241314451,0.7996864665053233
BLEND_opti,pressure,1.0,0.5,0,0.2149607834929579,0.00021182571251496347,9.784175368022356e-07,0.0001598655575489156,0.9984331385177817,1.0,1.0,1.0,1.0
Persistence_P,pressure,1.0,0.5,0,0.2149607834929579,0.00021182571251496347,9.784175368022356e-07,0.0001598655575489156,0.9984331385177817,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,0.5,0,3.7776112079201916,0.003722517069018874,4.808692363760248e-05,0.0029117903454902085,0.5161099986528984,18.213994247005083,17.573490134045525,16.51536779833564,17.434284059795413
AR_OLS,pressure,1.0,1.0,149,0.28212846545929315,0.00027801387986070455,2.9718167706177485e-06,0.00020214849208241692,0.9973005721771744,0.7062194729614634,0.7484423716146413,0.8216315559109231,0.7587644668290093
BLEND_opti,pressure,1.0,1.0,0,0.37695415994507014,0.0003714566283318986,1.9315442751799727e-06,0.0002862403258787621,0.9951810215155485,1.0,1.0,1.0,1.0
Persistence_P,pressure,1.0,1.0,0,0.37695415994507014,0.0003714566283318986,1.9315442751799727e-06,0.0002862403258787621,0.9951810215155485,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,1.0,0,3.7776394522997516,0.003722546036391546,4.812068729462449e-05,0.0029118138392494565,0.5160294701282189,10.172619215374857,10.021482327851828,9.757539325458984,9.98388028956189
AR_OLS,pressure,1.0,3.0,149,0.6648917951069907,0.0006551961735972018,1.1715783853243893e-05,0.0004891209835794775,0.984993181048285,0.6899066778293093,0.7269721521894493,0.7786736338670069,0.7318508212952551
BLEND_opti,pressure,1.0,3.0,0,0.9146042157247855,0.0009012672240936916,5.708990574395676e-06,0.0007089668781268003,0.971604266382176,1.0,1.0,1.0,1.0
Persistence_P,pressure,1.0,3.0,0,0.9146042157247855,0.0009012672240936916,5.708990574395676e-06,0.0007089668781268003,0.971604266382176,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,3.0,0,3.7778001096508818,0.003722711266214454,4.8341123968075114e-05,0.0029119370769195795,0.515532503085995,4.1072963586301325,4.130529954595862,4.1281709349094,4.121999082711798
AR_OLS,pressure,1.0,6.0,149,1.105463313590718,0.001089346235008383,2.701757841358049e-05,0.000818665733427252,0.9584563608825074,0.7199638341484069,0.7493355090240961,0.7915027779524926,0.7536007070416652
BLEND_opti,pressure,1.0,6.0,0,1.4752581457542673,0.001453749651377262,1.159844852132817e-05,0.0011370928574427526,0.9260135975215906,1.0,1.0,1.0,1.0
Persistence_P,pressure,1.0,6.0,0,1.4752581457542673,0.001453749651377262,1.159844852132817e-05,0.0011370928574427526,0.9260135975215906,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,6.0,0,3.778056499104694,0.003722974405709131,4.864006567237074e-05,0.0029121538853015276,0.5147642785881035,2.5610519547636343,2.5609460350907307,2.5485295171341367,2.5568425023295007
AR_OLS,pressure,1.0,10.0,149,1.6159798553088383,0.0015924257832050208,4.972585408167546e-05,0.0011932613304938785,0.9110478409090365,0.793714629701311,0.8154102266423707,0.8562976915049288,0.8218075159495369
BLEND_opti,pressure,1.0,10.0,0,1.9817998383010076,0.0019529136760550341,1.978807789464515e-05,0.0015033883537499165,0.8662159971328166,1.0,1.0,1.0,1.0
Persistence_P,pressure,1.0,10.0,0,1.9817998383010076,0.0019529136760550341,1.978807789464515e-05,0.0015033883537499165,0.8662159971328166,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,10.0,0,3.7784175984172754,0.0037233444362988993,4.899545657094646e-05,0.002912486602945046,0.51369972015767,1.9372816050359853,1.9065586369491805,1.8719170059145778,1.9052524159665811
