Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,pressure,1.0,0.5,0,3.4127523864706184,0.0033629794893493357,4.3522208618139366e-05,0.0026307825535456706,0.6050685771729762,16.45621854939395,15.876162763346178,14.918706894316443,15.750362735685522
Persistence_P,pressure,1.0,0.5,0,0.2149607834929579,0.00021182571251496347,9.784175368022356e-07,0.0001598655575489156,0.9984331385177817,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,0.5,0,3.7776112079201916,0.003722517069018874,4.808692363760248e-05,0.0029117903454902085,0.5161099986528984,18.213994247005083,17.573490134045525,16.51536779833564,17.434284059795413
BLEND_corre,pressure,1.0,1.0,0,3.42985633424899,0.003379835016991427,4.384215789206462e-05,0.002644100005526089,0.6010396236486213,9.237342772751052,9.098868506315965,8.858052123943231,9.064754467670083
Persistence_P,pressure,1.0,1.0,0,0.37695415994507014,0.0003714566283318986,1.9315442751799727e-06,0.0002862403258787621,0.9951810215155485,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,1.0,0,3.7776394522997516,0.003722546036391546,4.812068729462449e-05,0.0029118138392494565,0.5160294701282189,10.172619215374857,10.021482327851828,9.757539325458984,9.98388028956189
BLEND_corre,pressure,1.0,3.0,0,3.4962511254458226,0.0034452679010099703,4.517414785154072e-05,0.0026957696670420923,0.5850536640788148,3.802391550596455,3.8226929914981755,3.8197488838517692,3.814944475315466
Persistence_P,pressure,1.0,3.0,0,0.9146042157247855,0.0009012672240936916,5.708990574395676e-06,0.0007089668781268003,0.971604266382176,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,3.0,0,3.7778001096508818,0.003722711266214454,4.8341123968075114e-05,0.0029119370769195795,0.515532503085995,4.1072963586301325,4.130529954595862,4.1281709349094,4.121999082711798
BLEND_corre,pressure,1.0,6.0,0,3.5857762268077473,0.0035334974795027726,4.6931181346953935e-05,0.002764932519854799,0.562898562050573,2.4315802370555306,2.43060933920444,2.418231717321158,2.426807097860376
Persistence_P,pressure,1.0,6.0,0,1.4752581457542673,0.001453749651377262,1.159844852132817e-05,0.0011370928574427526,0.9260135975215906,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,6.0,0,3.778056499104694,0.003722974405709131,4.864006567237074e-05,0.0029121538853015276,0.5147642785881035,2.5610519547636343,2.5609460350907307,2.5485295171341367,2.5568425023295007
BLEND_corre,pressure,1.0,10.0,0,3.6794716484700416,0.003625840694948376,4.8418055107952445e-05,0.00283668635405915,0.538835858663242,1.8868619987533994,1.8566313193488018,1.8225823107223955,1.8553585429415325
Persistence_P,pressure,1.0,10.0,0,1.9817998383010076,0.0019529136760550341,1.978807789464515e-05,0.0015033883537499165,0.8662159971328166,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,10.0,0,3.7784175984172754,0.0037233444362988993,4.899545657094646e-05,0.002912486602945046,0.51369972015767,1.9372816050359853,1.9065586369491805,1.8719170059145778,1.9052524159665811
