Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,pressure,1.0,0.5,27000,1m,10.0,1.0,1008,104.77756201851132,0.10323554318285293,-0.02079716689120525,0.02755868193737319,-349.13477402179063,423.2983964206815,1110.473327985055,1412.9224834624176,982.2314026227181
Persistence_P,pressure,1.0,0.5,0,1m,,,1008,0.0943539654469949,9.296535142376898e-05,-6.686779617926546e-08,6.510462163429714e-05,0.9997160649664417,1.0,1.0,1.0,1.0
ELM_rolling_1m,pressure,1.0,1.0,27000,1m,10.0,1.0,1008,106.11877954675028,0.10455702191729464,-0.02063142292804982,0.02837358193638103,-358.156028501521,244.7642739388355,657.5032309970439,873.5423249629617,591.9366099662803
Persistence_P,pressure,1.0,1.0,0,1m,,,1008,0.16139659022790015,0.0001590213051253656,-1.3373559235853092e-07,0.00011592207261208123,0.9991692174270065,1.0,1.0,1.0,1.0
ELM_rolling_1m,pressure,1.0,3.0,27000,1m,10.0,1.0,1008,102.23323094912124,0.10072865721485255,-0.020181522090664893,0.027410514349268795,-332.33647616850186,95.55202624115363,267.04845866006616,380.1786826993897,247.59305586686983
Persistence_P,pressure,1.0,3.0,0,1m,,,1008,0.38282651568963716,0.0003771924306182685,-4.201994788475219e-07,0.00028686481519596776,0.9953258495342356,1.0,1.0,1.0,1.0
ELM_rolling_1m,pressure,1.0,6.0,27000,1m,10.0,1.0,1008,105.04303929691326,0.10349711341325862,-0.02087776294989935,0.028021640428674163,-350.9113105898877,54.93984227422258,156.93036965213525,228.78627358231896,146.88549516955894
Persistence_P,pressure,1.0,6.0,0,1m,,,1008,0.669360809700253,0.0006595097790356247,-8.790586583432253e-07,0.0005100422438202327,0.9857104277047378,1.0,1.0,1.0,1.0
ELM_rolling_1m,pressure,1.0,10.0,27000,1m,10.0,1.0,1008,100.62361338166606,0.09914272850366972,-0.019834919805072185,0.027110696969590977,-321.9226329287316,35.72107231988324,101.67101181837415,149.86241726499898,95.75150046775212
Persistence_P,pressure,1.0,10.0,0,1m,,,1008,0.9896981605870199,0.0009751327023358341,-1.5005358228328767e-06,0.0007589552947015111,0.9687604914150946,1.0,1.0,1.0,1.0
