Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,pressure,1.0,0.5,27000,1y,1.0,1.0,1008,3.142798473773749,0.003096545685009859,-0.00047364000101675943,0.0011860695138827006,0.6849846369599781,18.217900421033686,33.3085997910631,45.06643096665495,32.19764372625058
Persistence_P,pressure,1.0,0.5,0,1y,,,1008,0.0943539654469949,9.296535142376898e-05,-6.686779617926546e-08,6.510462163429714e-05,0.9997160649664417,1.0,1.0,1.0,1.0
ELM_rolling_1y,pressure,1.0,1.0,27000,1y,1.0,1.0,1008,2.874171370403816,0.0028318719858343435,-0.00047536388483682124,0.0011221699168321292,0.7365343594094713,9.680381756003715,17.808129442792694,25.430406700636972,17.639639299811126
Persistence_P,pressure,1.0,1.0,0,1y,,,1008,0.16139659022790015,0.0001590213051253656,-1.3373559235853092e-07,0.00011592207261208123,0.9991692174270065,1.0,1.0,1.0,1.0
ELM_rolling_1y,pressure,1.0,3.0,27000,1y,1.0,1.0,1008,3.238747595546421,0.003191082716730157,-0.0005364653335280138,0.0012176707281830955,0.6654562856131416,4.244754545276877,8.460092137850031,13.321766608430186,8.675537763852367
Persistence_P,pressure,1.0,3.0,0,1y,,,1008,0.38282651568963716,0.0003771924306182685,-4.201994788475219e-07,0.00028686481519596776,0.9953258495342356,1.0,1.0,1.0,1.0
ELM_rolling_1y,pressure,1.0,6.0,27000,1y,1.0,1.0,1008,3.2314288940164873,0.0031838717250514004,-0.00046709563974478487,0.001325564492067593,0.6669665355658474,2.598930790789156,4.827633836919069,7.501709757928941,4.976091461879055
Persistence_P,pressure,1.0,6.0,0,1y,,,1008,0.669360809700253,0.0006595097790356247,-8.790586583432253e-07,0.0005100422438202327,0.9857104277047378,1.0,1.0,1.0,1.0
ELM_rolling_1y,pressure,1.0,10.0,27000,1y,1.0,1.0,1008,2.89723701519776,0.0028545981718926224,-0.0004291870492531705,0.0013643578975583762,0.7322886909919804,1.7976788713160812,2.927394563893421,4.471766443635779,3.065613292948427
Persistence_P,pressure,1.0,10.0,0,1y,,,1008,0.9896981605870199,0.0009751327023358341,-1.5005358228328767e-06,0.0007589552947015111,0.9687604914150946,1.0,1.0,1.0,1.0
