Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,pressure,3.0,1.5,75000,1y,10.0,1008,3.9879323358838468,0.0039296441012091066,0.00033704189380730096,0.002936565671298513,0.46893092162924743,18.368493830458373,18.555493777753988,18.313518209267677,18.412501939160013
Persistence_P,pressure,3.0,1.5,0,1y,,1008,0.21491922465921884,0.00021177793209256016,9.516465434129363e-07,0.00015986970398352104,0.9984575681529123,1.0,1.0,1.0,1.0
ELM_rolling_1y,pressure,3.0,3.0,75000,1y,10.0,1008,3.9558160446340587,0.00389799722663031,0.0001455477982369288,0.002889052315705075,0.4774502688778366,10.09117298186894,10.494765160363361,10.833618628671877,10.473185590301393
Persistence_P,pressure,3.0,3.0,0,1y,,1008,0.37693230712530745,0.00037142300633388823,1.8845709435362221e-06,0.00028629499473410144,0.9952555903691259,1.0,1.0,1.0,1.0
ELM_rolling_1y,pressure,3.0,9.0,75000,1y,10.0,1008,4.098223388652024,0.004038323122923389,0.0002638583297351943,0.0029917075109103593,0.43915002038696294,4.220543931418901,4.48141021416377,4.741635510828499,4.481196552137057
Persistence_P,pressure,3.0,9.0,0,1y,,1008,0.9144941419777507,0.0009011277544198082,5.5086162201138785e-06,0.000708844063590775,0.9720734485806504,1.0,1.0,1.0,1.0
ELM_rolling_1y,pressure,3.0,18.0,75000,1y,10.0,1008,4.150708131764354,0.004090040740927841,0.0002945888458219952,0.0030425514429741327,0.42469275252842986,2.677126392430324,2.815096639869995,2.9628429372853016,2.8183553231952065
Persistence_P,pressure,3.0,18.0,0,1y,,1008,1.4744460538150617,0.0014528953226688249,1.0967618760510167e-05,0.0011364989907002754,0.9274039103465708,1.0,1.0,1.0,1.0
ELM_rolling_1y,pressure,3.0,30.0,75000,1y,10.0,1008,4.239034685650504,0.0041770763002666154,0.0001395425405002173,0.0031510346901032654,0.3999473007079817,2.098823682923984,2.14116080213337,2.168892395639249,2.136292293565534
Persistence_P,pressure,3.0,30.0,0,1y,,1008,1.9797834340264837,0.0019508466137175397,1.819005997735865e-05,0.00150133368311977,0.8691147143164354,1.0,1.0,1.0,1.0
