Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,pressure,3.0,1.5,75000,6m,10.0,1008,6.721447526206069,0.006623205811511925,0.00045418815141397403,0.0048276264677581905,-0.5086242289914951,30.197256562480465,31.274296363500103,31.3027747394952,30.924775888491922
Persistence_P,pressure,3.0,1.5,0,6m,,1008,0.21491922465921884,0.00021177793209256016,9.516465434129363e-07,0.00015986970398352104,0.9984575681529123,1.0,1.0,1.0,1.0
ELM_rolling_6m,pressure,3.0,3.0,75000,6m,10.0,1008,6.764323002495933,0.006665454613221259,0.000569562953400199,0.004809898303849791,-0.5279323573112749,16.80049736222954,17.9457236077331,18.695180742051388,17.813800570671344
Persistence_P,pressure,3.0,3.0,0,6m,,1008,0.37693230712530745,0.00037142300633388823,1.8845709435362221e-06,0.00028629499473410144,0.9952555903691259,1.0,1.0,1.0,1.0
ELM_rolling_6m,pressure,3.0,9.0,75000,6m,10.0,1008,6.537259952866384,0.006441710352178887,0.00026731027290042636,0.004710485229451827,-0.4270755428105626,6.6453053236984605,7.1484984460681575,7.62668387927371,7.1401625496801095
Persistence_P,pressure,3.0,9.0,0,6m,,1008,0.9144941419777507,0.0009011277544198082,5.5086162201138785e-06,0.000708844063590775,0.9720734485806504,1.0,1.0,1.0,1.0
ELM_rolling_6m,pressure,3.0,18.0,75000,6m,10.0,1008,6.8328918317724545,0.0067330212299034796,0.00029140091202627875,0.0048971470002541475,-0.5590661584634915,4.308976110253013,4.6342094470615995,4.933301498018546,4.625495685111053
Persistence_P,pressure,3.0,18.0,0,6m,,1008,1.4744460538150617,0.0014528953226688249,1.0967618760510167e-05,0.0011364989907002754,0.9274039103465708,1.0,1.0,1.0,1.0
ELM_rolling_6m,pressure,3.0,30.0,75000,6m,10.0,1008,6.778393958212187,0.006679319905676502,0.0003257169576908347,0.004922567016379664,-0.5342956932507614,3.278796094250396,3.42380577678958,3.559734119565888,3.420778663535288
Persistence_P,pressure,3.0,30.0,0,6m,,1008,1.9797834340264837,0.0019508466137175397,1.819005997735865e-05,0.00150133368311977,0.8691147143164354,1.0,1.0,1.0,1.0
