Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,temperature,1.0,0.5,0,1.7887397242950291,0.09683513583555711,-3.604043658176705e-05,0.07317215281459548,0.9067412147107674,3.3436409265015428,3.1645005754808024,2.9770231908083917,3.1617215642635794
Persistence_P,temperature,1.0,0.5,0,0.5652518246179351,0.030600448167352395,-6.6996119224026134e-06,0.02188397451252507,0.9906872188660888,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,0.5,0,1.8506237659848628,0.10018528762214533,-6.874832541911594e-05,0.07565347889247055,0.9001767464236149,3.457026457838865,3.273981056559589,3.0808547101920247,3.2706207415301596
BLEND_corre,temperature,1.0,1.0,0,1.79161301661229,0.09698996727460242,1.7909712601078637e-06,0.0733009320845759,0.9064404773596314,2.055601286724588,1.9937437419255009,1.9351688640678486,1.9948379642393126
Persistence_P,temperature,1.0,1.0,0,0.8986174998006521,0.04864715822552615,-1.4120884979568255e-05,0.03565911957633292,0.9764630967117628,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,1.0,0,1.8506413835066369,0.10018550075212841,-6.874912614140199e-05,0.07565436004013723,0.9001738968476118,2.1215992133005237,2.0594317203005508,1.9995527163693432,2.0601945499901393
BLEND_corre,temperature,1.0,3.0,0,1.800011175013027,0.09744064538944595,0.00015515401348888488,0.0736344117104067,0.9055584830116687,0.9148347001221966,0.9319796745788184,0.9447349010909493,0.930516425263988
Persistence_P,temperature,1.0,3.0,0,1.9313845828520786,0.10455232881927547,-2.1955984435990346e-05,0.08048930774113748,0.891269828650486,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,3.0,0,1.8507212228965582,0.10018575045439936,-6.411559774265755e-05,0.07565528953210807,0.9001623012184742,0.9399421072849062,0.9582354748651847,0.9716858424974133,0.9566211415491681
BLEND_corre,temperature,1.0,6.0,0,1.8098992255327238,0.09797031741211715,0.0005504602571674254,0.07406722929293003,0.9045162870438834,0.5414567650439386,0.5908116541793329,0.6294785210967367,0.5872489801066694
Persistence_P,temperature,1.0,6.0,0,3.063411516563201,0.1658232648579061,6.350437229149613e-05,0.13679250879231247,0.7264534816371517,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,6.0,0,1.8505916929386264,0.10017301129241597,-4.123660538408783e-05,0.07564104497159534,0.9001744465159492,0.5529618956432668,0.6040950368348748,0.6441301329750194,0.6003956884843871
BLEND_corre,temperature,1.0,10.0,0,1.8201575929241096,0.09851740877541608,0.001175979992004146,0.07450463600053917,0.9034236800536162,0.4119236026438389,0.46497421589138105,0.5071541784246417,0.46135066565328725
Persistence_P,temperature,1.0,10.0,0,3.914534463883697,0.21187714373914865,0.0001813127818706197,0.18087003396345325,0.5533031282579481,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,10.0,0,1.8503467704692234,0.10015142088314108,-7.836094070041342e-06,0.07561863517299379,0.9001934779521175,0.4180827167217393,0.4726862894019467,0.5159598540970572,0.4689096200735811
