Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,temperature,1.0,0.5,27000,1y,10.0,0.75,1008,0.7807761816474759,0.040462090770060063,-0.003731948538998046,0.026294051426140275,0.9827413613636122,2.773340058135289,2.893136579036002,3.049720190422073,2.9053989425311215
Persistence_P,temperature,1.0,0.5,0,1y,,,1008,0.2698718710015522,0.013985544638041978,3.0737192247926426e-06,0.009481005168843091,0.9979380949468619,1.0,1.0,1.0,1.0
ELM_rolling_1y,temperature,1.0,1.0,27000,1y,10.0,1.0,1008,0.8699504831865651,0.045083362227928955,-0.004120310534721262,0.03029040139058141,0.9785739314375834,1.8547415289893296,1.9276263134254414,2.0131188975992074,1.931828913337993
Persistence_P,temperature,1.0,1.0,0,1y,,,1008,0.45130660290719976,0.023388019718310785,5.733668553940112e-06,0.0163313329200576,0.9942337057797376,1.0,1.0,1.0,1.0
ELM_rolling_1y,temperature,1.0,3.0,27000,1y,10.0,1.0,1008,1.1141917388167344,0.057740653891525516,-0.004475337216340533,0.04143079071946107,0.9648542115102315,1.1677327214001894,1.1878628819393509,1.2290803931372218,1.1948919988255875
Persistence_P,temperature,1.0,3.0,0,1y,,,1008,0.9379800949733036,0.04860885441361371,1.690545573635953e-05,0.03547968637016764,0.9750918961676378,1.0,1.0,1.0,1.0
ELM_rolling_1y,temperature,1.0,6.0,27000,1y,10.0,1.0,1008,1.460044589253314,0.07566375369449468,-0.004861807320592731,0.05574921613979327,0.9396488345340834,0.9587530731565241,0.9750932667488049,1.0119523987272583,0.9819329128775292
Persistence_P,temperature,1.0,6.0,0,1y,,,1008,1.497338397301679,0.07759642720821548,3.404735141308773e-05,0.05814762705922692,0.9365263684899408,1.0,1.0,1.0,1.0
ELM_rolling_1y,temperature,1.0,10.0,27000,1y,10.0,1.0,1008,1.8693843806696553,0.09687693128033914,-0.005281775651339563,0.07279128644734827,0.9010648441227463,0.8441655466735033,0.8750149144477491,0.914057893105853,0.8777461180757018
Persistence_P,temperature,1.0,10.0,0,1y,,,1008,2.1364028770292283,0.1107146057521561,6.67351731690558e-05,0.08622868670036074,0.8707829769827672,1.0,1.0,1.0,1.0
