Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,temperature,1.0,0.5,27000,6m,10.0,1.0,1008,0.7002949482448434,0.0362913193662085,-0.0010018327488469836,0.023045211840752453,0.9861159742678653,2.4306717937972095,2.5949164158750566,2.8392825509615367,2.6216235868779343
Persistence_P,temperature,1.0,0.5,0,6m,,,1008,0.2698718710015522,0.013985544638041978,3.0737192247926426e-06,0.009481005168843091,0.9979380949468619,1.0,1.0,1.0,1.0
ELM_rolling_6m,temperature,1.0,1.0,27000,6m,10.0,1.0,1008,0.7735969972451222,0.0400900445706869,-0.0010483579991446886,0.026348094813071616,0.9830572862408471,1.6133462554493492,1.7141273632200626,1.9410429971458507,1.7561722052717543
Persistence_P,temperature,1.0,1.0,0,6m,,,1008,0.45130660290719976,0.023388019718310785,5.733668553940112e-06,0.0163313329200576,0.9942337057797376,1.0,1.0,1.0,1.0
ELM_rolling_6m,temperature,1.0,3.0,27000,6m,10.0,1.0,1008,1.061572710400158,0.05501378292124127,-0.0007384661657170881,0.03908294902810172,0.9680954286298471,1.1015584698337075,1.1317646462746866,1.2133374999194477,1.1488868720092806
Persistence_P,temperature,1.0,3.0,0,6m,,,1008,0.9379800949733036,0.04860885441361371,1.690545573635953e-05,0.03547968637016764,0.9750918961676378,1.0,1.0,1.0,1.0
ELM_rolling_6m,temperature,1.0,6.0,27000,6m,10.0,1.0,1008,1.3819643605682492,0.07161740933273933,0.0007393482154949431,0.053167007042944504,0.9459311528957925,0.9143452576111257,0.9229472529781225,0.951984869994862,0.9297591268613701
Persistence_P,temperature,1.0,6.0,0,6m,,,1008,1.497338397301679,0.07759642720821548,3.404735141308773e-05,0.05814762705922692,0.9365263684899408,1.0,1.0,1.0,1.0
ELM_rolling_6m,temperature,1.0,10.0,27000,6m,25.0,1.0,1008,1.761902955878949,0.09130693149269128,0.002654867388959107,0.06919712594199766,0.9121144669272936,0.8024838205231319,0.8247053843743931,0.8563567702792932,0.8278486583922727
Persistence_P,temperature,1.0,10.0,0,6m,,,1008,2.1364028770292283,0.1107146057521561,6.67351731690558e-05,0.08622868670036074,0.8707829769827672,1.0,1.0,1.0,1.0
