Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,temperature,3.0,1.5,75000,1m,50.0,1008,1.7680286592918761,0.0957978498612497,-0.007509804432392044,0.06432284383333935,0.9090737526779735,2.9363692936902552,3.128030037296601,3.417069660462572,3.1604896638164757
Persistence_P,temperature,3.0,1.5,0,1m,,1008,0.5652211258239369,0.030625616991850554,-1.472151904663443e-05,0.021905570246752652,0.9907071818655866,1.0,1.0,1.0,1.0
ELM_rolling_1m,temperature,3.0,3.0,75000,1m,100.0,1008,1.824048708782901,0.0988332080621232,-0.005615747189209214,0.07040271815295913,0.9032204654411757,1.9721012195676615,2.029441040168794,2.1303487417158293,2.0439636671507615
Persistence_P,temperature,3.0,3.0,0,1m,,1008,0.8987936444959199,0.048699718841747175,-2.9648933464550423e-05,0.0356993431444626,0.9765020133937851,1.0,1.0,1.0,1.0
ELM_rolling_1m,temperature,3.0,9.0,75000,1m,100.0,1008,1.976487018847747,0.10709283794082868,-0.005263270514470115,0.0802985721718839,0.8863685368019724,0.9964840019416352,1.0229056583022316,1.0631076876224372,1.0274991159554347
Persistence_P,temperature,3.0,9.0,0,1m,,1008,1.9322280630730138,0.10469473608991087,-7.165158920599707e-05,0.08058189796868112,0.8914005971871548,1.0,1.0,1.0,1.0
ELM_rolling_1m,temperature,3.0,18.0,75000,1m,100.0,1008,2.1453368429341975,0.11624169987353668,-0.00742382999649796,0.08872917352671987,0.8661243326663848,0.6478637969468728,0.7001207851538159,0.7567909607465392,0.7015918476157427
Persistence_P,temperature,3.0,18.0,0,1m,,1008,3.0642381835055343,0.16603092257573593,-3.2222625605570526e-05,0.13695652380155451,0.7268786148222327,1.0,1.0,1.0,1.0
ELM_rolling_1m,temperature,3.0,30.0,75000,1m,100.0,1008,2.1993157278381044,0.11916646078424116,-0.007223565662529539,0.09300733693239505,0.8593026796082338,0.5135590222988485,0.5617528246556461,0.6035916710245316,0.5596345059930088
Persistence_P,temperature,3.0,30.0,0,1m,,1008,3.915095093978891,0.21213326494137358,7.993887790008143e-05,0.1811035010466091,0.5541433007175928,1.0,1.0,1.0,1.0
