Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,temperature,3.0,1.5,75000,1y,100.0,1008,0.7166992850888393,0.03883322261082824,0.0016637598583652507,0.029823321330712322,0.985058829942118,1.3614492110806118,1.2679980495139649,1.2012386037214837,1.2768952881053535
Persistence_P,temperature,3.0,1.5,0,1y,,1008,0.5652211258239369,0.030625616991850554,-1.472151904663443e-05,0.021905570246752652,0.9907071818655866,1.0,1.0,1.0,1.0
ELM_rolling_1y,temperature,3.0,3.0,75000,1y,100.0,1008,0.8605559494565305,0.04662786952574638,0.0011978536929893298,0.03557115866771538,0.9784588497864265,0.9964093323446175,0.9574566472809956,0.9422706395785008,0.965378873068038
Persistence_P,temperature,3.0,3.0,0,1y,,1008,0.8987936444959199,0.048699718841747175,-2.9648933464550423e-05,0.0356993431444626,0.9765020133937851,1.0,1.0,1.0,1.0
ELM_rolling_1y,temperature,3.0,9.0,75000,1y,100.0,1008,1.1794676348983901,0.06390759720459156,-0.000310158747619691,0.04912996542470659,0.9595347038998732,0.6096898517307371,0.6104184373673602,0.6187180739177693,0.6129421210052889
Persistence_P,temperature,3.0,9.0,0,1y,,1008,1.9322280630730138,0.10469473608991087,-7.165158920599707e-05,0.08058189796868112,0.8914005971871548,1.0,1.0,1.0,1.0
ELM_rolling_1y,temperature,3.0,18.0,75000,1y,100.0,1008,1.3979145034838145,0.0757437969230894,-0.0010864401360023406,0.05851622138742871,0.9431576678762734,0.42726129258520595,0.45620295152271073,0.48345324863543454,0.4556391642477837
Persistence_P,temperature,3.0,18.0,0,1y,,1008,3.0642381835055343,0.16603092257573593,-3.2222625605570526e-05,0.13695652380155451,0.7268786148222327,1.0,1.0,1.0,1.0
ELM_rolling_1y,temperature,3.0,30.0,75000,1y,100.0,1008,1.5439636894508264,0.08365724216963266,-0.002205176229703648,0.06473113033163487,0.9306598412983023,0.3574261676751106,0.3943617338504297,0.42613917390632616,0.39264235847728884
Persistence_P,temperature,3.0,30.0,0,1y,,1008,3.915095093978891,0.21213326494137358,7.993887790008143e-05,0.1811035010466091,0.5541433007175928,1.0,1.0,1.0,1.0
