Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,temperature,3.0,1.5,75000,6m,25.0,1008,0.7870218529592989,0.042643540256589715,0.0017633724096442784,0.03147823304156043,0.9819829265437424,1.4369967404170574,1.3924140783167607,1.3718938281268445,1.4004348822868875
Persistence_P,temperature,3.0,1.5,0,6m,,1008,0.5652211258239369,0.030625616991850554,-1.472151904663443e-05,0.021905570246752652,0.9907071818655866,1.0,1.0,1.0,1.0
ELM_rolling_6m,temperature,3.0,3.0,75000,6m,50.0,1008,0.9273706258258355,0.05024811759226712,0.000291576464674727,0.038074881500841394,0.9749840305654438,1.066542914998907,1.0317948190943682,1.0172164067111429,1.0385180469348059
Persistence_P,temperature,3.0,3.0,0,6m,,1008,0.8987936444959199,0.048699718841747175,-2.9648933464550423e-05,0.0356993431444626,0.9765020133937851,1.0,1.0,1.0,1.0
ELM_rolling_6m,temperature,3.0,9.0,75000,6m,50.0,1008,1.2801136778054996,0.0693609446132279,-0.0006439477573000078,0.052448345857365575,0.9523341060659674,0.6508700735461715,0.6625065137339988,0.680991860991576,0.6647894827572488
Persistence_P,temperature,3.0,9.0,0,6m,,1008,1.9322280630730138,0.10469473608991087,-7.165158920599707e-05,0.08058189796868112,0.8914005971871548,1.0,1.0,1.0,1.0
ELM_rolling_6m,temperature,3.0,18.0,75000,6m,100.0,1008,1.5142478673805981,0.08204713712624072,-0.001961331684229585,0.06262064577438757,0.9333032598935268,0.45723010511805057,0.49416780834193375,0.5304900936138217,0.493962669024602
Persistence_P,temperature,3.0,18.0,0,6m,,1008,3.0642381835055343,0.16603092257573593,-3.2222625605570526e-05,0.13695652380155451,0.7268786148222327,1.0,1.0,1.0,1.0
ELM_rolling_6m,temperature,3.0,30.0,75000,6m,100.0,1008,1.708255500003599,0.09255913531375795,-0.0014396135895566623,0.07016773890075594,0.9151178597133655,0.3874455131747975,0.4363254171350172,0.4790446483346427,0.43427185954815245
Persistence_P,temperature,3.0,30.0,0,6m,,1008,3.915095093978891,0.21213326494137358,7.993887790008143e-05,0.1811035010466091,0.5541433007175928,1.0,1.0,1.0,1.0
