Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_tikhonov,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,temperature,1.0,0.5,0,,,,0.5512592869793086,0.02984294875896051,0.00021637107146124993,0.021619861345640295,0.9911425789767538,0.9879312066126922,0.9752454799273149,0.971495241761618,0.9782239761005417
ELM,temperature,1.0,0.5,75000,500.0,100.0,25.0,0.7556849350488754,0.04090972674248746,0.003999878228051309,0.031592870248690605,0.9833552613861656,1.4436532189620648,1.336899594370452,1.2559659223678634,1.3455062452334603
Persistence_P,temperature,1.0,0.5,0,,,,0.5652518246179351,0.030600448167352395,-6.6996119224026134e-06,0.02188397451252507,0.9906872188660888,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,0.5,0,,,,1.8506237659848628,0.10018528762214533,-6.874832541911594e-05,0.07565347889247055,0.9001767464236149,3.457026457838865,3.273981056559589,3.0808547101920247,3.2706207415301596
BLEND_opti,temperature,1.0,1.0,0,,,,0.8211759525815421,0.044454816988422116,0.001436167773273342,0.033294006514977006,0.9803450463026907,0.9336743842961941,0.9138214565860452,0.9065045742479652,0.9180001383767348
ELM,temperature,1.0,1.0,75000,500.0,100.0,25.0,0.8933670539800767,0.048362922420364614,0.0034881746931888897,0.03704726680177912,0.9767373362205807,1.038928252910863,0.9941571961132071,0.9706892610707917,1.0012582366982874
Persistence_P,temperature,1.0,1.0,0,,,,0.8986174998006521,0.04864715822552615,-1.4120884979568255e-05,0.03565911957633292,0.9764630967117628,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,1.0,0,,,,1.8506413835066369,0.10018550075212841,-6.874912614140199e-05,0.07565436004013723,0.9001738968476118,2.1215992133005237,2.0594317203005508,1.9995527163693432,2.0601945499901393
BLEND_opti,temperature,1.0,3.0,0,,,,1.3106492448300981,0.07094984190557065,0.008691127712614396,0.05595298776357217,0.9499290864821823,0.6951605043432996,0.6786060406957688,0.6742877054651273,0.6826847501680652
ELM,temperature,1.0,3.0,75000,500.0,100.0,25.0,1.189469780864706,0.06438999086650725,0.0019751517177762665,0.04989082416199265,0.9587599315191501,0.6198441204445075,0.61586376500335,0.619833957109684,0.6185139475191805
Persistence_P,temperature,1.0,3.0,0,,,,1.9313845828520786,0.10455232881927547,-2.1955984435990346e-05,0.08048930774113748,0.891269828650486,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,3.0,0,,,,1.8507212228965582,0.10018575045439936,-6.411559774265755e-05,0.07565528953210807,0.9001623012184742,0.9399421072849062,0.9582354748651847,0.9716858424974133,0.9566211415491681
BLEND_opti,temperature,1.0,6.0,0,,,,1.6109466900836154,0.08720096474710479,0.012557462601800906,0.06899763734430717,0.9243545435390351,0.5043963149258707,0.5258668910048736,0.5456500411975125,0.5253044157094189
ELM,temperature,1.0,6.0,75000,500.0,100.0,25.0,1.429619754775973,0.07738569041754795,0.0012877157726800062,0.05986219926852431,0.9404253373802868,0.4376131397619961,0.46667571334975055,0.493870584765759,0.4660531459591686
Persistence_P,temperature,1.0,6.0,0,,,,3.063411516563201,0.1658232648579061,6.350437229149613e-05,0.13679250879231247,0.7264534816371517,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,6.0,0,,,,1.8505916929386264,0.10017301129241597,-4.123660538408783e-05,0.07564104497159534,0.9001744465159492,0.5529618956432668,0.6040950368348748,0.6441301329750194,0.6003956884843871
BLEND_opti,temperature,1.0,10.0,0,,,,1.745138150355646,0.09445692460725794,0.009451941159279954,0.0732698907209888,0.9112205818203347,0.40509690364626005,0.44580988274765515,0.47985269265522146,0.4435864930163789
ELM,temperature,1.0,10.0,75000,500.0,100.0,25.0,1.5794247946177011,0.08548756367376115,0.0009529773861659243,0.06610208615749903,0.9272805522421704,0.36546731765890905,0.40347704412614077,0.4359288733499753,0.401624411711675
Persistence_P,temperature,1.0,10.0,0,,,,3.914534463883697,0.21187714373914865,0.0001813127818706197,0.18087003396345325,0.5533031282579481,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,10.0,0,,,,1.8503467704692234,0.10015142088314108,-7.836094070041342e-06,0.07561863517299379,0.9001934779521175,0.4180827167217393,0.4726862894019467,0.5159598540970572,0.4689096200735811
