Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,humidity,1.0,0.5,0,10.314442243720178,0.14497180604741947,0.0002703697729481386,0.10905156212071125,0.3712471603405293,3.5444110158210482,3.0630853800757163,2.6597461700540443,3.0890808553169364
Persistence_P,humidity,1.0,0.5,0,3.3673374927163198,0.04732868596821023,2.1568666591013122e-05,0.03076718857771914,0.9329865843102869,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,0.5,0,14.334232865330067,0.20147086751650362,0.0004479110852711426,0.15157849655591296,-0.21433181566150727,4.926628124406611,4.2568447315826115,3.695749833090745,4.293074229693322
BLEND_corre,humidity,1.0,1.0,0,10.531633821808795,0.1480251263215293,0.00023848966254166952,0.11151993598805188,0.34448202791754157,2.2928279188463896,2.078613474105603,1.8901304578257938,2.0871906169259287
Persistence_P,humidity,1.0,1.0,0,5.066662923630091,0.07121339689439969,4.12115685059007e-05,0.04863859824428598,0.8482819938194575,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,1.0,0,14.334368898960733,0.20147365574125506,0.0004481356474961359,0.15158182772470724,-0.21436783602089293,3.116492522325414,2.8291538464316566,2.575410469381765,2.840352279379612
BLEND_corre,humidity,1.0,3.0,0,11.239749659151022,0.157981842512062,0.00014181532909558279,0.11953873049955323,0.2533316259175752,1.2779357497106594,1.249704064589135,1.2196688038974197,1.2491028727324047
Persistence_P,humidity,1.0,3.0,0,8.993929024985857,0.12641540264494672,0.00010984144674421185,0.09354048552645804,0.521905891421987,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,3.0,0,14.335178115720854,0.20149006162395527,0.0004463780559054174,0.15160089818778794,-0.21456473413400756,1.620698217831117,1.5938727196864217,1.559616088183495,1.591395675233678
BLEND_corre,humidity,1.0,6.0,0,11.984335834350027,0.16845363930929658,-0.0009353918575365782,0.12807856309171786,0.15107459656018918,0.9355697637254009,0.9643645545410611,0.9848980945747233,0.9616108042803951
Persistence_P,humidity,1.0,6.0,0,12.427184074650427,0.1746783812367132,0.00013197635476393818,0.13689899787025417,0.08717599818237876,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,6.0,0,14.33634126934532,0.20151378387438673,0.0004385469684962195,0.15162450774049935,-0.21483766835480966,1.107564774756067,1.1536274978487915,1.1839150706012869,1.1483691144020485
BLEND_corre,humidity,1.0,10.0,0,12.747266726659836,0.17918448187650676,-0.002666982311511576,0.13669300660541475,0.03957423522028847,0.7975029936614985,0.8433575369674614,0.878643422555936,0.8398346510616319
Persistence_P,humidity,1.0,10.0,0,15.114902242406417,0.2124656198850335,0.0001468462299616752,0.17140124575310917,-0.3503313204538383,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,10.0,0,14.337552566512645,0.2015386500570166,0.0004156894325045114,0.151642093108682,-0.21500957969105916,0.8847199006191078,0.9485706448227739,0.9955779134608804,0.9429561529675873
