Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,humidity,1.0,0.5,27000,1m,10.0,1.0,1008,3.071981776739571,0.043429609326796736,0.001230060484329575,0.029033935625359608,0.9453612647300932,2.1491023689098006,1.9170551528174236,1.768775986341967,1.9449778360230636
Persistence_P,humidity,1.0,0.5,0,1m,,,1008,1.6024483031825116,0.022654334833804798,3.3540510375758587e-06,0.01350979648311866,0.9851327233417698,1.0,1.0,1.0,1.0
ELM_rolling_1m,humidity,1.0,1.0,27000,1m,10.0,1.0,1008,3.8291015131517607,0.05413325822698234,0.0012096922701835724,0.03723878964898658,0.9151098838004732,1.609747466262229,1.4499238639970358,1.3341739465442468,1.4646150922678374
Persistence_P,humidity,1.0,1.0,0,1m,,,1008,2.6408983314447942,0.03733524191935985,6.708102397656655e-06,0.023133311546968047,0.9596199611642092,1.0,1.0,1.0,1.0
ELM_rolling_1m,humidity,1.0,3.0,27000,1m,25.0,1.0,1008,6.011593698788398,0.0849878628013575,0.0014947128558869753,0.06250568877067658,0.7907610128730664,1.2865452441940104,1.1787765318758738,1.108330576449024,1.191217450839636
Persistence_P,humidity,1.0,3.0,0,1m,,,1008,5.09985865533114,0.0720983668262466,1.8415031341587575e-05,0.048584135733084836,0.8494157163970729,1.0,1.0,1.0,1.0
ELM_rolling_1m,humidity,1.0,6.0,27000,1m,50.0,1.0,1008,8.021484329992601,0.11340234284929283,-0.0011167051468625694,0.08584646026868542,0.6274600544017315,1.1699188972736574,1.0975659496647752,1.053165190269896,1.1068833457361096
Persistence_P,humidity,1.0,6.0,0,1m,,,1008,7.308430379461543,0.10332166635082732,4.1474134442143056e-05,0.07337812943165492,0.6907486555766358,1.0,1.0,1.0,1.0
ELM_rolling_1m,humidity,1.0,10.0,27000,1m,25.0,1.0,1008,10.285989306601374,0.14541638902540183,-0.0008800555980177949,0.11208475369260264,0.38743030882688057,1.1406787468107746,1.0997495631356224,1.0748253569812052,1.1050845556425342
Persistence_P,humidity,1.0,10.0,0,1m,,,1008,9.353028772545095,0.13222682135993621,6.0695427968651546e-05,0.09826145530104823,0.49351345967834903,1.0,1.0,1.0,1.0
