Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,humidity,1.0,0.5,27000,1y,10.0,1.0,1008,2.1719565998939707,0.03070565955904418,-0.0006894223293152626,0.01997190258229173,0.9726872358981473,1.4783274201982153,1.3553988578479557,1.2566747056524101,1.3634669945661937
Persistence_P,humidity,1.0,0.5,0,1y,,,1008,1.6024483031825116,0.022654334833804798,3.3540510375758587e-06,0.01350979648311866,0.9851327233417698,1.0,1.0,1.0,1.0
ELM_rolling_1y,humidity,1.0,1.0,27000,1y,10.0,1.0,1008,2.99392665572105,0.04232611859730808,-0.0007510733528668215,0.027892492288700606,0.9481025903156434,1.2057284678879587,1.1336773627643286,1.07745608887696,1.1389539731764158
Persistence_P,humidity,1.0,1.0,0,1y,,,1008,2.6408983314447942,0.03733524191935985,6.708102397656655e-06,0.023133311546968047,0.9596199611642092,1.0,1.0,1.0,1.0
ELM_rolling_1y,humidity,1.0,3.0,27000,1y,50.0,1.0,1008,5.191292902783758,0.07339100263418794,-0.001044654274569111,0.05180423176491625,0.8439677272112748,1.0662787550553996,1.0179287807039588,0.9884727345001545,1.0242267567531709
Persistence_P,humidity,1.0,3.0,0,1y,,,1008,5.09985865533114,0.0720983668262466,1.8415031341587575e-05,0.048584135733084836,0.8494157163970729,1.0,1.0,1.0,1.0
ELM_rolling_1y,humidity,1.0,6.0,27000,1y,100.0,1.0,1008,7.1492938933214685,0.10107190189094897,-0.0009907925159240646,0.07495409576569999,0.7040695403038267,1.0214773304559766,0.978225627408686,0.9552950834784364,0.9849993471143663
Persistence_P,humidity,1.0,6.0,0,1y,,,1008,7.308430379461543,0.10332166635082732,4.1474134442143056e-05,0.07337812943165492,0.6907486555766358,1.0,1.0,1.0,1.0
ELM_rolling_1y,humidity,1.0,10.0,27000,1y,100.0,1.0,1008,8.869165513468378,0.12538628849336578,-0.0007230784234683041,0.09628126895574249,0.544562394786631,0.9798477812155443,0.948266676940303,0.9341210782861176,0.9540785121473215
Persistence_P,humidity,1.0,10.0,0,1y,,,1008,9.353028772545095,0.13222682135993621,6.0695427968651546e-05,0.09826145530104823,0.49351345967834903,1.0,1.0,1.0,1.0
