Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,pressure,1.0,0.5,27000,1m,10.0,1.0,1008,112.20578028761997,0.11081210082953533,-0.02375982592953798,0.029635778928526625,-242.71667385746034,443.73666672602224,1016.0336126353419,683.3252084689813,714.3651626101151
Persistence_P,pressure,1.0,0.5,0,1m,,,1008,0.11043510656757281,0.00010906342019740462,2.7935903718097518e-08,6.678686065585998e-05,0.9997639146212249,1.0,1.0,1.0,1.0
ELM_rolling_1m,pressure,1.0,1.0,27000,1m,10.0,1.0,1008,113.27789991628606,0.11187090393298095,-0.02345958906072009,0.029887680831860827,-247.39632139214228,253.94541492244858,622.3690347770765,505.91209130891923,460.74218033614807
Persistence_P,pressure,1.0,1.0,0,1m,,,1008,0.18201082249675313,0.00017975011236388304,5.463271493257082e-08,0.00011769332728841791,0.9993587177689327,1.0,1.0,1.0,1.0
ELM_rolling_1m,pressure,1.0,3.0,27000,1m,10.0,1.0,1008,111.93221435672707,0.11054193279149019,-0.023627214724378592,0.02984449576195553,-241.52972426776782,104.70092638607564,284.4388791659902,334.7319953045212,241.290600285529
Persistence_P,pressure,1.0,3.0,0,1m,,,1008,0.39351939047476947,0.00038863158621498136,1.4452324383193663e-07,0.0002850451929327399,0.9970023076766261,1.0,1.0,1.0,1.0
ELM_rolling_1m,pressure,1.0,6.0,27000,1m,1.0,1.0,1008,109.28592295269972,0.1079285102999239,-0.021773785926095735,0.02727168425039701,-230.19755170302545,53.9937681942668,163.01044659045766,225.13269502925485,147.3789699379931
Persistence_P,pressure,1.0,6.0,0,1m,,,1008,0.6704228179146472,0.0006620956666113559,2.530001602856836e-07,0.0005050894790723791,0.9912993368258062,1.0,1.0,1.0,1.0
ELM_rolling_1m,pressure,1.0,10.0,27000,1m,10.0,1.0,1008,110.08705549386627,0.10871969217755988,-0.023014098430563873,0.029338073193513402,-233.5996141918952,38.893985096217754,111.58435683749117,158.8948266163965,103.12438951670181
Persistence_P,pressure,1.0,10.0,0,1m,,,1008,0.9865814403912769,0.0009743273632512547,4.1092813211138466e-07,0.0007543087477648667,0.9811582748423394,1.0,1.0,1.0,1.0
