Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,pressure,1.0,0.5,27000,1y,1.0,1.0,1008,2.5034388021271705,0.002472344225500608,-0.0003211997207728189,0.0009868810785696694,0.8786810226955317,14.7765753454842,22.668867536206626,16.988122734978337,18.144521872223052
Persistence_P,pressure,1.0,0.5,0,1y,,,1008,0.11043510656757281,0.00010906342019740462,2.7935903718097518e-08,6.678686065585998e-05,0.9997639146212249,1.0,1.0,1.0,1.0
ELM_rolling_1y,pressure,1.0,1.0,27000,1y,1.0,1.0,1008,2.510898560915796,0.0024797113285226647,-0.0003061128390389123,0.001016101013779024,0.877956931750387,8.633463231853227,13.795325610160285,12.262052226194996,11.563613689402835
Persistence_P,pressure,1.0,1.0,0,1y,,,1008,0.18201082249675313,0.00017975011236388304,5.463271493257082e-08,0.00011769332728841791,0.9993587177689327,1.0,1.0,1.0,1.0
ELM_rolling_1y,pressure,1.0,3.0,27000,1y,1.0,1.0,1008,2.4110743829769623,0.0023811270413083277,-0.0003176575681743472,0.0010396215988578844,0.8874680098199728,3.6472167383759264,6.126951914791474,7.697257016954308,5.8238085567072355
Persistence_P,pressure,1.0,3.0,0,1y,,,1008,0.39351939047476947,0.00038863158621498136,1.4452324383193663e-07,0.0002850451929327399,0.9970023076766261,1.0,1.0,1.0,1.0
ELM_rolling_1y,pressure,1.0,6.0,27000,1y,1.0,1.0,1008,2.8123030448036803,0.002777372143976602,-0.00033460306007362597,0.0011942545551923756,0.8468986514298256,2.364441558722785,4.194819999640465,6.05160242094313,4.20362132643546
Persistence_P,pressure,1.0,6.0,0,1y,,,1008,0.6704228179146472,0.0006620956666113559,2.530001602856836e-07,0.0005050894790723791,0.9912993368258062,1.0,1.0,1.0,1.0
ELM_rolling_1y,pressure,1.0,10.0,27000,1y,1.0,1.0,1008,2.764617431428563,0.0027302788214766667,-0.00027809417261091433,0.0013155931870295636,0.8520466285381925,1.7441043749364824,2.802219176484933,4.0945530907071666,2.8802922140428606
Persistence_P,pressure,1.0,10.0,0,1y,,,1008,0.9865814403912769,0.0009743273632512547,4.1092813211138466e-07,0.0007543087477648667,0.9811582748423394,1.0,1.0,1.0,1.0
