Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,pressure,3.0,1.5,75000,1m,10.0,1008,5.737647582790529,0.005677323042368225,0.0004347827765591182,0.002764794125238592,0.3979887612206934,16.831183395782492,23.36589807987988,18.251130305771184,19.48273726047785
Persistence_P,pressure,3.0,1.5,0,1m,,1008,0.24555647564563993,0.00024297474134995503,1.4256106121046178e-06,0.000164266175480649,0.9988973450205061,1.0,1.0,1.0,1.0
ELM_rolling_1m,pressure,3.0,3.0,75000,1m,10.0,1008,5.872865410868014,0.0058111192158010186,0.0004188552095167254,0.002910599717582308,0.36927948626470664,10.041576511829556,14.718943425439713,15.059472888964422,13.273330942077896
Persistence_P,pressure,3.0,3.0,0,1m,,1008,0.3990004744985674,0.000394805459049274,2.8333611413726435e-06,0.00028985485637175143,0.9970887219611895,1.0,1.0,1.0,1.0
ELM_rolling_1m,pressure,3.0,9.0,75000,1m,10.0,1008,5.03619557863948,0.004983245971788494,0.0003703400385205125,0.0027688629802319264,0.536187942267496,3.8819382655905064,5.451649556032889,6.678079020777759,5.337222280800385
Persistence_P,pressure,3.0,9.0,0,1m,,1008,0.9237929780475965,0.0009140803935707769,8.384086886116003e-06,0.0007132681641990865,0.9843941950883769,1.0,1.0,1.0,1.0
ELM_rolling_1m,pressure,3.0,18.0,75000,1m,10.0,1008,5.851331043041105,0.005789811256240511,0.00042252003981786533,0.002979271661165522,0.37389640333644436,2.605358811567187,3.953994034017572,5.348041485427877,3.9691314436708787
Persistence_P,pressure,3.0,18.0,0,1m,,1008,1.4798532806827955,0.0014642943834585413,1.682607804079699e-05,0.0011435168345865642,0.9599526134987524,1.0,1.0,1.0,1.0
ELM_rolling_1m,pressure,3.0,30.0,75000,1m,10.0,1008,5.824018395461841,0.005762785768667009,0.00038764158450793515,0.003329566494823314,0.3797277726702035,2.217078557882664,2.948610508980361,3.690824012459228,2.9521710264407512
Persistence_P,pressure,3.0,30.0,0,1m,,1008,1.9751738582373177,0.0019544072542357583,2.805706213106705e-05,0.001501781018532374,0.9286576323921987,1.0,1.0,1.0,1.0
