Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,pressure,3.0,1.5,75000,1y,10.0,1008,3.6752250581793686,0.003636584437718783,6.337621925958698e-05,0.0025441727247688824,0.7529955725586135,15.488110789239098,14.966923794276347,9.985547114418553,13.480193899311333
Persistence_P,pressure,3.0,1.5,0,1y,,1008,0.24555647564563993,0.00024297474134995503,1.4256106121046178e-06,0.000164266175480649,0.9988973450205061,1.0,1.0,1.0,1.0
ELM_rolling_1y,pressure,3.0,3.0,75000,1y,10.0,1008,3.736097043909825,0.003696816426915678,-8.974778420939e-05,0.0025701302603922276,0.7447456472293223,8.866956008823687,9.363640603698679,8.19931118943999,8.809969267320787
Persistence_P,pressure,3.0,3.0,0,1y,,1008,0.3990004744985674,0.000394805459049274,2.8333611413726435e-06,0.00028985485637175143,0.9970887219611895,1.0,1.0,1.0,1.0
ELM_rolling_1y,pressure,3.0,9.0,75000,1y,10.0,1008,3.755209130655427,0.0037157275727995763,4.149521082949618e-05,0.0026358718612920482,0.7421274490577865,3.6954850834423714,4.064989905630077,4.350011276752231,4.036828755274893
Persistence_P,pressure,3.0,9.0,0,1y,,1008,0.9237929780475965,0.0009140803935707769,8.384086886116003e-06,0.0007132681641990865,0.9843941950883769,1.0,1.0,1.0,1.0
ELM_rolling_1y,pressure,3.0,18.0,75000,1y,10.0,1008,3.992153299741295,0.003950180555750429,6.684613680338946e-05,0.002813299321126318,0.7085585762214535,2.460216794397662,2.697668310671541,2.9572158876654218,2.705033664244875
Persistence_P,pressure,3.0,18.0,0,1y,,1008,1.4798532806827955,0.0014642943834585413,1.682607804079699e-05,0.0011435168345865642,0.9599526134987524,1.0,1.0,1.0,1.0
ELM_rolling_1y,pressure,3.0,30.0,75000,1y,10.0,1008,4.12445718391741,0.004081093421936357,0.00013673601237655146,0.002962442789552035,0.6889211684194285,1.9726196782318524,2.0881489326707436,2.2480664476135406,2.1029450195053787
Persistence_P,pressure,3.0,30.0,0,1y,,1008,1.9751738582373177,0.0019544072542357583,2.805706213106705e-05,0.001501781018532374,0.9286576323921987,1.0,1.0,1.0,1.0
