Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,temperature,1.0,0.5,0,1.9969352679302617,0.11070811169024022,2.5420979156893665e-05,0.08368500842732361,0.8830049137092757,3.500071260134701,3.2802981554679804,3.1036440527805698,3.2946711561277504
Persistence_P,temperature,1.0,0.5,0,0.6087663905189652,0.033749405219674664,-1.2455120664259024e-05,0.023909515609148762,0.9891272104368236,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,0.5,0,2.086205409589712,0.11565715985026458,2.9554523610098487e-06,0.08735579823940988,0.8723109128469301,3.653599665816064,3.4269392037416027,3.2437503262589304,3.441429731938866
BLEND_corre,temperature,1.0,1.0,0,2.0008965784737507,0.11092680510639936,6.2659923642124e-05,0.08387074592162687,0.882538493777821,2.160707464878552,2.0537969363185753,1.9812432643795082,2.065249221858878
Persistence_P,temperature,1.0,1.0,0,0.9742426542228423,0.05401060014493707,-2.4277191483603464e-05,0.03881633552200507,0.9721528623098302,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,1.0,0,2.0862223493588283,0.11565714212598784,3.799908232216576e-06,0.08735589432340606,0.8723068884798724,2.250493075882544,2.1413785778277354,2.0667625505471814,2.1528780680858204
BLEND_corre,temperature,1.0,3.0,0,2.013148593993374,0.11160107591580593,0.0003674670587830205,0.08441419833185643,0.8810895097945943,0.9645860490758357,0.9668410945543993,0.983719565060417,0.9717155695635507
Persistence_P,temperature,1.0,3.0,0,2.0821917948380135,0.11542856064391945,-5.457471204186276e-05,0.08751339334912958,0.8727933057142264,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,3.0,0,2.086239937548129,0.1156529738259655,1.5834055718141985e-05,0.08734995573401223,0.8722982010553729,0.998132427404965,1.0019441737884816,1.0202508477997818,1.006775816331076
BLEND_corre,temperature,1.0,6.0,0,2.026512123920915,0.11233402864978771,0.0011269535585697627,0.08510209795100684,0.8794932043621442,0.5771184417229761,0.6112703742426735,0.6457508367443271,0.6113798842366589
Persistence_P,temperature,1.0,6.0,0,3.315246753830724,0.18377142649676534,2.2275495730072537e-05,0.1474603682684895,0.6774887691457092,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,6.0,0,2.086263588453002,0.11564618387915172,3.409945554887897e-05,0.08734054470207875,0.8722821842569995,0.5922984306064722,0.6292936071929945,0.6663181119764802,0.629303383258649
BLEND_corre,temperature,1.0,10.0,0,2.0401790488767615,0.11308082422155054,0.002011465207161418,0.08584084860415894,0.8778436769853549,0.43685606525012016,0.4807855165117281,0.5198309254230508,0.47915750239496635
Persistence_P,temperature,1.0,10.0,0,4.243428678299202,0.23520014713003962,0.00012775800227029065,0.19649686803595393,0.47153868727684645,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,10.0,0,2.0862353735947465,0.11563358407005132,6.187288374412449e-05,0.08732440458247291,0.8722661522354831,0.44440608878557175,0.49163908050669186,0.5334519885959517,0.4898323859627384
