Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,temperature,1.0,0.5,27000,1y,10.0,0.75,1008,0.8016981939627869,0.04255406809669904,-0.004013895010590929,0.027924071613001988,0.981460520356546,2.690781235909481,2.768014647699536,2.8309948341494944,2.7632635725861707
Persistence_P,temperature,1.0,0.5,0,1y,,,1008,0.28962931775995787,0.015373498161241745,2.0584872534382566e-06,0.010377681856980722,0.9975803041898883,1.0,1.0,1.0,1.0
ELM_rolling_1y,temperature,1.0,1.0,27000,1y,10.0,0.75,1008,0.8776421615600474,0.04658516707260285,-0.0043207235351375335,0.03143366828602531,0.9777817071492244,1.8239792985670311,1.852981114132116,1.8927422280584407,1.856567546919196
Persistence_P,temperature,1.0,1.0,0,1y,,,1008,0.4736379420526961,0.0251406594040879,4.116974506876514e-06,0.017233566362688697,0.993529040214659,1.0,1.0,1.0,1.0
ELM_rolling_1y,temperature,1.0,3.0,27000,1y,10.0,1.0,1008,1.1911389304674576,0.06322554739607443,-0.0033246677562262703,0.04510506908510381,0.9590738804872857,1.2089958465689328,1.1983815469331136,1.232001334117258,1.213126242539768
Persistence_P,temperature,1.0,3.0,0,1y,,,1008,0.9939563351219891,0.05275911295353357,1.3440710890096894e-05,0.03730787761852917,0.9715022650989563,1.0,1.0,1.0,1.0
ELM_rolling_1y,temperature,1.0,6.0,27000,1y,10.0,1.0,1008,1.5634049608955307,0.08298539484018552,-0.003178392067798541,0.06183150547319124,0.9294951973405535,0.9961676040334956,0.9796623370787393,0.9981952061217203,0.9913417157446517
Persistence_P,temperature,1.0,6.0,0,1y,,,1008,1.5958610448957922,0.08470816086248671,2.5065109497748266e-05,0.06206937991441869,0.9265374706318482,1.0,1.0,1.0,1.0
ELM_rolling_1y,temperature,1.0,10.0,27000,1y,10.0,1.0,1008,1.9979296331112055,0.10604992539595719,-0.0043550991212092695,0.0807828702960396,0.8848573801809537,0.8802285689647745,0.8799056567517591,0.9054353890718438,0.8885232049294592
Persistence_P,temperature,1.0,10.0,0,1y,,,1008,2.2706180120340624,0.12052420004600131,4.692140062984281e-05,0.09177487887157229,0.8512818798240047,1.0,1.0,1.0,1.0
