Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,temperature,1.0,0.5,27000,6m,10.0,0.75,1008,0.6880795760963184,0.03652320206986731,-0.000383655669560996,0.02370091694977859,0.9863430706047499,2.2838353763789523,2.37572487971191,2.6147359290468706,2.424765395045911
Persistence_P,temperature,1.0,0.5,0,6m,,,1008,0.28962931775995787,0.015373498161241745,2.0584872534382566e-06,0.010377681856980722,0.9975803041898883,1.0,1.0,1.0,1.0
ELM_rolling_6m,temperature,1.0,1.0,27000,6m,10.0,0.75,1008,0.7674180343726134,0.04073448030599277,-0.0004857587362991567,0.0273374723254043,0.9830120985924952,1.5862922247243572,1.6202630031004395,1.7664030462164348,1.657652758013744
Persistence_P,temperature,1.0,1.0,0,6m,,,1008,0.4736379420526961,0.0251406594040879,4.116974506876514e-06,0.017233566362688697,0.993529040214659,1.0,1.0,1.0,1.0
ELM_rolling_6m,temperature,1.0,3.0,27000,6m,10.0,1.0,1008,1.08087861827755,0.05737293993278455,0.0012873264581729968,0.04175456683537319,0.9663000247777415,1.1191890158510531,1.0874508065235007,1.0899994168582847,1.0988797464109463
Persistence_P,temperature,1.0,3.0,0,6m,,,1008,0.9939563351219891,0.05275911295353357,1.3440710890096894e-05,0.03730787761852917,0.9715022650989563,1.0,1.0,1.0,1.0
ELM_rolling_6m,temperature,1.0,6.0,27000,6m,25.0,1.0,1008,1.5013153453395782,0.07968968362571258,0.0026625798667535548,0.059290032038939934,0.934984100222694,0.9552219165180815,0.9407556817940953,0.9691564723547744,0.9550446902223171
Persistence_P,temperature,1.0,6.0,0,6m,,,1008,1.5958610448957922,0.08470816086248671,2.5065109497748266e-05,0.06206937991441869,0.9265374706318482,1.0,1.0,1.0,1.0
ELM_rolling_6m,temperature,1.0,10.0,27000,6m,50.0,1.0,1008,1.8695292045933907,0.09923444218801315,0.004325447114042604,0.07611117981766513,0.8991814986153863,0.8293247646142188,0.823356986813749,0.8423874884712977,0.8316897466330885
Persistence_P,temperature,1.0,10.0,0,6m,,,1008,2.2706180120340624,0.12052420004600131,4.692140062984281e-05,0.09177487887157229,0.8512818798240047,1.0,1.0,1.0,1.0
