Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,sigma2_corr,tau_corr,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,temperature,1.0,0.5,0,,,,,0.597056225607635,0.03310020528528804,4.070531965309889e-05,0.02381919834275981,0.9895414829167368,0.9962225388474875,0.9807641073920862,0.9755826947671972,0.9841897803355902
ELM,temperature,1.0,0.5,75000,500.0,100.0,25.0,6.0,1.0285359213429757,0.05702101189062621,0.0021459722544308686,0.0440290298458772,0.9689630829417187,1.8414856480417312,1.6895412384152195,1.5841342140716594,1.7050537001762034
Persistence_P,temperature,1.0,0.5,0,,,,,0.6087663905189652,0.033749405219674664,-1.2455120664259024e-05,0.023909515609148762,0.9891272104368236,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,0.5,0,,,,,2.086205409589712,0.11565715985026458,2.9554523610098487e-06,0.08735579823940988,0.8723109128469301,3.653599665816064,3.4269392037416027,3.2437503262589304,3.441429731938866
BLEND_opti,temperature,1.0,1.0,0,,,,,0.9024484242350781,0.05003043213260959,0.0006759402340552192,0.036991944565379915,0.9761058786883222,0.9529994026460611,0.9263076506899252,0.9118624923274695,0.9303898485544853
ELM,temperature,1.0,1.0,75000,500.0,100.0,10.0,6.0,1.2071924330745696,0.06692499811845701,0.0022689099170386863,0.0516875777294352,0.9572437811414455,1.3315934395747735,1.2391085812574614,1.1803170269698644,1.2503396826006998
Persistence_P,temperature,1.0,1.0,0,,,,,0.9742426542228423,0.05401060014493707,-2.4277191483603464e-05,0.03881633552200507,0.9721528623098302,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,1.0,0,,,,,2.0862223493588283,0.11565714212598784,3.799908232216576e-06,0.08735589432340606,0.8723068884798724,2.250493075882544,2.1413785778277354,2.0667625505471814,2.1528780680858204
BLEND_opti,temperature,1.0,3.0,0,,,,,1.4585099321871415,0.08085408009703524,0.006250449682805712,0.0631355309865471,0.9375852425488375,0.7214384972443199,0.7004685811378908,0.698763114546755,0.7068900643096553
ELM,temperature,1.0,3.0,75000,500.0,100.0,25.0,2.0,1.4790120174437664,0.08199063543129312,0.003988782363157419,0.06376144651214619,0.9358181973398477,0.7285907227682694,0.7103149772803844,0.7109586210953802,0.7166214403813447
Persistence_P,temperature,1.0,3.0,0,,,,,2.0821917948380135,0.11542856064391945,-5.457471204186276e-05,0.08751339334912958,0.8727933057142264,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,3.0,0,,,,,2.086239937548129,0.1156529738259655,1.5834055718141985e-05,0.08734995573401223,0.8722982010553729,0.998132427404965,1.0019441737884816,1.0202508477997818,1.006775816331076
BLEND_opti,temperature,1.0,6.0,0,,,,,1.7897432129743571,0.09920940663953833,0.012345822796378591,0.07853164214888984,0.9060072028373383,0.5325610065336526,0.5398521877463065,0.553574903765276,0.541996032681745
ELM,temperature,1.0,6.0,75000,500.0,100.0,25.0,0.5,1.6210316137931837,0.08985735125716005,0.0025757804436996844,0.07023049216683498,0.9228925936485439,0.4762668979570316,0.48896258232365447,0.5075353938695357,0.49092162471674056
Persistence_P,temperature,1.0,6.0,0,,,,,3.315246753830724,0.18377142649676534,2.2275495730072537e-05,0.1474603682684895,0.6774887691457092,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,6.0,0,,,,,2.086263588453002,0.11564618387915172,3.409945554887897e-05,0.08734054470207875,0.8722821842569995,0.5922984306064722,0.6292936071929945,0.6663181119764802,0.629303383258649
BLEND_opti,temperature,1.0,10.0,0,,,,,1.9511688473034916,0.1081472636286343,0.012683833582549,0.08486947557703137,0.8882701819212957,0.431912612273812,0.45980950670426596,0.4866298222833918,0.4594506470871566
ELM,temperature,1.0,10.0,75000,500.0,100.0,25.0,0.5,1.8101469406372128,0.10033085484436752,0.004300583473022824,0.0783697299015061,0.903837211982342,0.3988344989150995,0.42657649694791927,0.4535845194642708,0.4263318384424298
Persistence_P,temperature,1.0,10.0,0,,,,,4.243428678299202,0.23520014713003962,0.00012775800227029065,0.19649686803595393,0.47153868727684645,1.0,1.0,1.0,1.0
Persistence_Pcyclic,temperature,1.0,10.0,0,,,,,2.0862353735947465,0.11563358407005132,6.187288374412449e-05,0.08732440458247291,0.8722661522354831,0.44440608878557175,0.49163908050669186,0.5334519885959517,0.4898323859627384
