Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,temperature,3.0,1.5,75000,1m,100.0,1008,1.986029321350219,0.11019354715200441,-0.00678370869185028,0.07548660257175095,0.8844389330060862,3.1554891549764257,3.2629718118620374,3.4710559054394263,3.29650562409263
Persistence_P,temperature,3.0,1.5,0,1m,,1008,0.6086565976850647,0.03377091605615854,-1.560207456990458e-05,0.02392231405793404,0.9891461229159784,1.0,1.0,1.0,1.0
ELM_rolling_1m,temperature,3.0,3.0,75000,1m,100.0,1008,2.067354258141884,0.11470580845683427,-0.006599290109632367,0.08063418370643698,0.8747810560243616,2.0758432516674303,2.122001798727406,2.264863507608046,2.154236186000961
Persistence_P,temperature,3.0,3.0,0,1m,,1008,0.974247175182276,0.0540554718311855,-3.2574601635814244e-05,0.038844061873008574,0.9721914373786738,1.0,1.0,1.0,1.0
ELM_rolling_1m,temperature,3.0,9.0,75000,1m,100.0,1008,2.216834474573417,0.12299962119190583,-0.007139310693016951,0.09210154284043605,0.8560184765993699,1.0514760360204842,1.0645357746551996,1.1158288570518788,1.0772802225758542
Persistence_P,temperature,3.0,9.0,0,1m,,1008,2.082442438622078,0.11554296635239439,-9.498289991543269e-05,0.08759262188134335,0.8729466142910105,1.0,1.0,1.0,1.0
ELM_rolling_1m,temperature,3.0,18.0,75000,1m,100.0,1008,2.4232794804837483,0.13445408827782473,-0.008840610814742316,0.10245252486009711,0.827952945904975,0.6941638633665183,0.7309779039014714,0.7883004530444622,0.7378140734374838
Persistence_P,temperature,3.0,18.0,0,1m,,1008,3.3151200160085583,0.18393728122313777,-7.801037284952286e-05,0.1475912680951561,0.6780127000748992,1.0,1.0,1.0,1.0
ELM_rolling_1m,temperature,3.0,30.0,75000,1m,100.0,1008,2.4621514706978664,0.1366108754110779,-0.008491878893620209,0.10646882513711273,0.8223890385841724,0.5413448379507722,0.5803222900810491,0.6199107148249388,0.58052594761892
Persistence_P,temperature,3.0,30.0,0,1m,,1008,4.242731173317497,0.23540518388841916,3.289085990412248e-05,0.19667468436596527,0.47261076472962404,1.0,1.0,1.0,1.0
