Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,temperature,3.0,1.5,75000,1y,100.0,1008,0.7900050549899807,0.043832917440602664,0.0019982040192476516,0.03350773402957077,0.9817147892004278,1.400689496359891,1.2979487251015565,1.2361929664915636,1.311610395984337
Persistence_P,temperature,3.0,1.5,0,1y,,1008,0.6086565976850647,0.03377091605615854,-1.560207456990458e-05,0.02392231405793404,0.9891461229159784,1.0,1.0,1.0,1.0
ELM_rolling_1y,temperature,3.0,3.0,75000,1y,100.0,1008,0.963864893309814,0.05347941766382772,0.0012580486758907417,0.04079551686226938,0.9727809755533205,1.0502381804364491,0.9893432774177461,0.9628920319952332,1.000824496616476
Persistence_P,temperature,3.0,3.0,0,1y,,1008,0.974247175182276,0.0540554718311855,-3.2574601635814244e-05,0.038844061873008574,0.9721914373786738,1.0,1.0,1.0,1.0
ELM_rolling_1y,temperature,3.0,9.0,75000,1y,100.0,1008,1.331885039556071,0.07389877648311438,0.0012251851210641745,0.05723068115152073,0.9480274874904384,0.6533733084168644,0.6395783215200704,0.6446570776946593,0.6458695692105314
Persistence_P,temperature,3.0,9.0,0,1y,,1008,2.082442438622078,0.11554296635239439,-9.498289991543269e-05,0.08759262188134335,0.8729466142910105,1.0,1.0,1.0,1.0
ELM_rolling_1y,temperature,3.0,18.0,75000,1y,100.0,1008,1.5927781202675972,0.08837425964036816,8.289518364374681e-05,0.06919190376101322,0.9256722830078117,0.46880757008201407,0.48045865989048564,0.4970321379976683,0.482099455990056
Persistence_P,temperature,3.0,18.0,0,1y,,1008,3.3151200160085583,0.18393728122313777,-7.801037284952286e-05,0.1475912680951561,0.6780127000748992,1.0,1.0,1.0,1.0
ELM_rolling_1y,temperature,3.0,30.0,75000,1y,100.0,1008,1.7390252105392183,0.09648868447007464,0.0002466610105172811,0.07520641501044481,0.9113962736763419,0.382389910795552,0.4098834310964442,0.43559949796312747,0.40929094661837456
Persistence_P,temperature,3.0,30.0,0,1y,,1008,4.242731173317497,0.23540518388841916,3.289085990412248e-05,0.19667468436596527,0.47261076472962404,1.0,1.0,1.0,1.0
