Method,FH_steps,t_calib_s,t_refit_s
huber,1,101.98315143585205,0.07838867902755738
mae,1,304.9026653766632,0.0772472858428955
m_estimator,1,102.10431718826294,0.07815756797790527
huber,2,103.28623008728027,0.0786639928817749
mae,2,308.5098567008972,0.07710102796554566
m_estimator,2,103.39429092407227,0.07809319496154785
huber,6,90.51110792160034,0.07864874601364136
mae,6,270.08143949508667,0.07756279706954956
m_estimator,6,90.64325189590454,0.07837432622909546
huber,12,88.52455830574036,0.07852859497070312
mae,12,263.90583300590515,0.07688924074172973
m_estimator,12,88.00398373603821,0.07749862670898437
huber,20,90.31830382347107,0.07725838422775269
mae,20,269.73218870162964,0.07683432102203369
m_estimator,20,90.34554648399353,0.07767902612686158
