Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,PAC,1.0,0.5,53,1467.1885528758262,0.4340599855431348,0.0016890160763911235,0.2626571654218058,0.8364681322497372,0.9223955769519331,0.9156499014538068,0.9210192115393521,0.9196882299816972
BLEND_opti,PAC,1.0,0.5,0,1502.9162517862624,0.44462983659749067,-0.015139604993063771,0.2643893008490598,0.8284067900477219,0.9284784647125432,0.9379470110668756,0.9445224710996126,0.9369826489596772
Persistence_P,PAC,1.0,0.5,0,1602.346650773755,0.4740457950729463,-0.0006403963514846813,0.28475544764618177,0.8049511064728513,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,0.5,0,3648.378068335463,1.079353385421082,-0.0006626212570769671,0.6469821301306732,-0.011184048235610478,2.2720623450005784,2.2768968665885767,2.0498714980571893,2.1996102365487817
AR_OLS,PAC,1.0,1.0,53,2038.879158573671,0.6031916322956665,0.00578372601084689,0.4052767568281209,0.6841989932422812,0.8655745618462258,0.8491952466815383,0.8569011147138844,0.8572236410805495
BLEND_opti,PAC,1.0,1.0,0,2080.9621244627347,0.6156416555252066,-0.03720222366640576,0.38075889318150963,0.6710280353185609,0.813210248507819,0.8667228448469216,0.9011421741114817,0.8603584224887407
Persistence_P,PAC,1.0,1.0,0,2400.954511393165,0.7103097134054884,-0.005098085274872297,0.4682170372055372,0.5620763487670601,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,1.0,0,3648.378068335463,1.079353385421082,-0.0006626212570769671,0.6469821301306732,-0.011184048235610478,1.3817996329054165,1.5195531822960173,1.4923166018173402,1.4645564723395914
AR_OLS,PAC,1.0,3.0,53,2827.621870121357,0.8365369983705182,0.006836378130162948,0.6342887706241638,0.3926022187149545,0.6781821545574711,0.6590647521464987,0.6708236006436818,0.6693568357825507
BLEND_opti,PAC,1.0,3.0,0,2936.1381360797764,0.8686409626093211,-0.07980621917020468,0.5631517312876808,0.3450871602926301,0.6021223646945955,0.6843578249874863,0.7420929375467419,0.6761910424096079
Persistence_P,PAC,1.0,3.0,0,4290.35517513585,1.2692789223608343,-0.10493186608614186,0.9352778842109924,-0.39835368174875807,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,3.0,0,3648.378068335463,1.079353385421082,-0.0006626212570769671,0.6469821301306732,-0.011184048235610478,0.6917539065691393,0.8503673750553625,0.9390264746402709,0.8270492520882575
AR_OLS,PAC,1.0,6.0,53,2976.812207891853,0.8806741719661724,0.003243599791433739,0.6632741211922666,0.3268165766832307,0.6172682937215334,0.5937334804423783,0.6030335715136034,0.6046784485591717
BLEND_opti,PAC,1.0,6.0,0,3232.017484915983,0.9561753055038471,-0.17682904353136122,0.61591922482358,0.20644334097472639,0.5731980139579935,0.6446348832762862,0.696093521243372,0.6379754728258838
Persistence_P,PAC,1.0,6.0,0,5013.717949127432,1.4832819791634466,-0.4277013093715111,1.0745313309280191,-0.9096348622484085,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,6.0,0,3648.378068335463,1.079353385421082,-0.0006626212570769671,0.6469821301306732,-0.011184048235610478,0.6021063430248301,0.7276791605260549,0.7987712067398173,0.7095189034302342
AR_OLS,PAC,1.0,10.0,53,2989.7091745361117,0.8844896714424901,0.003715288280589351,0.6663706715068077,0.3209708391104069,0.6225847973346234,0.5799809976357315,0.584753244676737,0.5957730132156972
BLEND_opti,PAC,1.0,10.0,0,3374.985379891671,0.9984716022576916,-0.25194122741763375,0.6288597556917827,0.13468480741088618,0.5875386482180579,0.6547216713609937,0.7064998242104601,0.6495867145965039
Persistence_P,PAC,1.0,10.0,0,5154.839877036553,1.525032156308699,-0.7914555690304744,1.0703291734068003,-1.0186493957479525,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,10.0,0,3648.378068335463,1.079353385421082,-0.0006626212570769671,0.6469821301306732,-0.011184048235610478,0.6044702379468587,0.7077577878971608,0.77187735053978,0.6947017921279333
