Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,PAC,1.0,0.5,0,1877.7688740362726,1.1034489848596787,-0.002558796697658335,0.48143529840702454,0.6280053665545504,1.6838550593445416,1.651740921291347,1.4767151337137807,1.6041037047832232
Persistence_P,PAC,1.0,0.5,0,1136.7404840208992,0.6679922915356256,-0.0010200875306589912,0.28502719371885643,0.8636751409338037,0.9969033923817296,0.9999104790303295,0.9999974817329861,0.9989371177150151
Persistence_Pcyclic,PAC,1.0,0.5,0,2588.1902511314156,1.520919823905607,-0.0010423039922431542,0.6471162537942582,0.2932842066053315,2.2633362812012066,2.276648531665089,2.049865543765355,2.1966167855438834
BLEND_corre,PAC,1.0,1.0,0,1965.985775391257,1.1552886183702635,-0.005273671513680813,0.5106292370955656,0.5922319960755418,1.0780343405920627,1.1534230335061746,1.1280373074605001,1.1198315605195792
Persistence_P,PAC,1.0,1.0,0,1703.2678487417554,1.0009054919513558,-0.005476082824288577,0.46841907989314546,0.693931736090406,0.9889207613445782,0.9992892082742931,0.9999483581974994,0.9960527759387903
Persistence_Pcyclic,PAC,1.0,1.0,0,2588.1902511314156,1.520919823905607,-0.0010423039922431542,0.6471162537942582,0.2932842066053315,1.3661840984928542,1.5184638099210028,1.492239359915278,1.4589624227763782
BLEND_corre,PAC,1.0,3.0,0,2204.9349147729527,1.2955562812572134,-0.04461799416843407,0.6314647121772251,0.4871274009692451,0.6072076136193785,0.702879762705857,0.7631337296624976,0.691073701995911
Persistence_P,PAC,1.0,3.0,0,3043.7841579940855,1.7884399481635023,-0.10527193333917706,0.9353024743749062,0.02266004759272311,0.8993737457147013,0.9702845523306659,0.9876887930659135,0.952449030370427
Persistence_Pcyclic,PAC,1.0,3.0,0,2588.3380928046936,1.5208329514323726,-0.00104230399224315,0.6471162537942582,0.2932595385347182,0.6222579165919312,0.8250993951267853,0.9274659334912859,0.791607748403334
BLEND_corre,PAC,1.0,6.0,0,2458.176707026356,1.44410634951907,-0.21732034613164156,0.7082175612659277,0.36262876356194573,0.47160968562543487,0.5920512328194414,0.656010648712477,0.5732238557191177
Persistence_P,PAC,1.0,6.0,0,3557.274075447551,2.089793652608355,-0.4279187453814231,1.0745030139049754,-0.3347530349036023,0.7155231051959615,0.8567685536297697,0.9065679677357653,0.8262865421871655
Persistence_Pcyclic,PAC,1.0,6.0,0,2588.559902825194,1.5207026334174152,-0.0010423039922431519,0.6471162537942582,0.29322252262801773,0.4309216682928669,0.623453992267529,0.724140407603558,0.5928386893879846
BLEND_corre,PAC,1.0,10.0,0,2513.442939251018,1.4762361870325633,-0.3808435586604099,0.6916377369709182,0.33375279075429987,0.3716462905274654,0.5188190480205157,0.5994761409798953,0.4966471598426255
Persistence_P,PAC,1.0,10.0,0,3657.818742730076,2.1483695966589886,-0.7915348022520454,1.070302452928322,-0.4110477294959103,0.5751189027298311,0.7550384408170921,0.8269297451270319,0.719029029557985
Persistence_Pcyclic,PAC,1.0,10.0,0,2588.8557382436256,1.5205288586901402,-0.0010423039922431508,0.6471162537942583,0.29317314230699465,0.34772300932558625,0.5343855826614677,0.6382883582502344,0.5067989834124295
