Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,PAC,1.0,0.5,0,2646.9391013818845,0.7830829553756867,-0.002179690349360736,0.4812382029093389,0.46774661005222984,1.69000525499092,1.6519141473561338,1.4767192976287769,1.6062128999919434
Persistence_P,PAC,1.0,0.5,0,1602.346650773755,0.4740457950729463,-0.0006403963514846813,0.28475544764618177,0.8049511064728513,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,0.5,0,3648.378068335463,1.079353385421082,-0.0006626212570769671,0.6469821301306732,-0.011184048235610478,2.2720623450005784,2.2768968665885767,2.0498714980571893,2.1996102365487817
BLEND_corre,PAC,1.0,1.0,0,2771.2934992880087,0.819872547314335,-0.00489559703199769,0.5104432375977764,0.4165608294004013,1.0901851001498326,1.1542465657460343,1.1280956220919829,1.1241757626626165
Persistence_P,PAC,1.0,1.0,0,2400.954511393165,0.7103097134054884,-0.005098085274872297,0.4682170372055372,0.5620763487670601,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,1.0,0,3648.378068335463,1.079353385421082,-0.0006626212570769671,0.6469821301306732,-0.011184048235610478,1.3817996329054165,1.5195531822960173,1.4923166018173402,1.4645564723395914
BLEND_corre,PAC,1.0,3.0,0,3107.9486875394186,0.9194702069736901,-0.044254873633348006,0.6313246396930298,0.26619913895169556,0.6750129029573068,0.7244035891366519,0.7726458957100433,0.7240207959346673
Persistence_P,PAC,1.0,3.0,0,4290.35517513585,1.2692789223608343,-0.10493186608614186,0.9352778842109924,-0.39835368174875807,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,3.0,0,3648.378068335463,1.079353385421082,-0.0006626212570769671,0.6469821301306732,-0.011184048235610478,0.6917539065691393,0.8503673750553625,0.9390264746402709,0.8270492520882575
BLEND_corre,PAC,1.0,6.0,0,3464.611119693316,1.0249869040887627,-0.21702286611529323,0.7081066609196421,0.0881161441313768,0.6589911718144931,0.6910263311274388,0.7236198986093143,0.6912124671837487
Persistence_P,PAC,1.0,6.0,0,5013.717949127432,1.4832819791634466,-0.4277013093715111,1.0745313309280191,-0.9096348622484085,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,6.0,0,3648.378068335463,1.079353385421082,-0.0006626212570769671,0.6469821301306732,-0.011184048235610478,0.6021063430248301,0.7276791605260549,0.7987712067398173,0.7095189034302342
BLEND_corre,PAC,1.0,10.0,0,3542.1006086575585,1.04791176019784,-0.3806082303656453,0.6915205349833697,0.046869598371352406,0.646082113955931,0.6871407634671018,0.7249420180813361,0.686054965168123
Persistence_P,PAC,1.0,10.0,0,5154.839877036553,1.525032156308699,-0.7914555690304744,1.0703291734068003,-1.0186493957479525,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,10.0,0,3648.378068335463,1.079353385421082,-0.0006626212570769671,0.6469821301306732,-0.011184048235610478,0.6044702379468587,0.7077577878971608,0.77187735053978,0.6947017921279333
