Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_none,PAC,1.0,0.5,27000,1m,50.0,0.5,none,0.0,0.0,48,1183.1695497570263,0.7906382992683472,-0.10439948665428758,0.33645457008174895,0.8280573362523511,1.1044336746631696,1.0763409715027574,1.0181202490250818,1.0662982983970029
Persistence_P,PAC,1.0,0.5,0,1m,,,none,0.0,0.0,48,1099.2516136453653,0.7345611847930307,-0.00015532212464130824,0.30463990532012797,0.8515829120781411,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,1.0,27000,1m,50.0,0.75,none,0.0,0.0,48,1430.934603587249,0.9562042072303008,-0.05239569451818306,0.44467170017573265,0.7485050581951869,0.8952585621545638,0.8833067227683307,0.8729252535216291,0.8838301794815079
Persistence_P,PAC,1.0,1.0,0,1m,,,none,0.0,0.0,48,1619.9747683371222,1.0825279402759502,-0.00028335250645158754,0.4966963947326776,0.677665951399305,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,3.0,27000,1m,200.0,0.5,none,0.0,0.0,48,1991.219481421501,1.3306075909276052,-0.236927941772304,0.6255506144687463,0.5130011365346088,0.5809148744712278,0.6774495716833486,0.7364894476934725,0.6649512979493496
Persistence_P,PAC,1.0,3.0,0,1m,,,none,0.0,0.0,48,2939.288125127387,1.9641426410843663,-0.0004559326449419304,1.0768369720919055,-0.06114321771126785,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,6.0,27000,1m,400.0,0.5,none,0.0,0.0,48,2124.285271241343,1.419527145843098,-0.26981471001563123,0.6695185081520862,0.44573767612434156,0.4346442126261086,0.5508625320755692,0.6182085111608473,0.5345717519541751
Persistence_P,PAC,1.0,6.0,0,1m,,,none,0.0,0.0,48,3856.2892691890797,2.576917221969205,-0.00046034748569400753,1.5403828895060478,-0.8265387501349215,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,10.0,27000,1m,400.0,0.5,none,0.0,0.0,48,2131.9245712926727,1.4246320128517398,-0.27150079715212055,0.6711488489668146,0.4417440603191325,0.3586527256616508,0.47992574532655047,0.5511460357994383,0.4632415022625465
Persistence_P,PAC,1.0,10.0,0,1m,,,none,0.0,0.0,48,4442.196719082181,2.9684425699696386,-0.0004356645123982965,1.8713055860056933,-1.423735681729561,1.0,1.0,1.0,1.0
