Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y_none,PAC,1.0,0.5,27000,1y,25.0,0.75,none,0.0,0.0,48,1037.6703082542215,0.6934102452922827,-0.013266451043856955,0.3015168659017345,0.8677461076400474,0.9897484230927933,0.9439788810617012,0.9243978853481993,0.9527083965008979
Persistence_P,PAC,1.0,0.5,0,1y,,,none,0.0,0.0,48,1099.2516136453653,0.7345611847930307,-0.00015532212464130824,0.30463990532012797,0.8515829120781411,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,1.0,27000,1y,25.0,1.0,none,0.0,0.0,48,1356.7274876591603,0.9066162272632353,0.06018304833299309,0.45445536549276755,0.7739133439278836,0.9149560381595999,0.8374991476267368,0.8337672457496633,0.8620741438453333
Persistence_P,PAC,1.0,1.0,0,1y,,,none,0.0,0.0,48,1619.9747683371222,1.0825279402759502,-0.00028335250645158754,0.4966963947326776,0.677665951399305,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,3.0,27000,1y,25.0,1.0,none,0.0,0.0,48,1820.8878484284191,1.2167856009609883,0.07636703820787175,0.6539646809009378,0.5927547028236786,0.6073014744567328,0.619499610419956,0.6499708779935546,0.6255906542900811
Persistence_P,PAC,1.0,3.0,0,1y,,,none,0.0,0.0,48,2939.288125127387,1.9641426410843663,-0.0004559326449419304,1.0768369720919055,-0.06114321771126785,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,6.0,27000,1y,25.0,1.0,none,0.0,0.0,48,1970.593956488301,1.3168248410604781,0.08364815529090833,0.7197427710097318,0.5230377850095751,0.4672492637467108,0.5110078157862591,0.546744768109242,0.5083339492140707
Persistence_P,PAC,1.0,6.0,0,1y,,,none,0.0,0.0,48,3856.2892691890797,2.576917221969205,-0.00046034748569400753,1.5403828895060478,-0.8265387501349215,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,10.0,27000,1y,25.0,1.0,none,0.0,0.0,48,1981.3772543845744,1.324030645428047,0.08418466142277257,0.7195851994346354,0.5178035278263149,0.384536446006444,0.4460354594098107,0.4875805934388692,0.4393841662850413
Persistence_P,PAC,1.0,10.0,0,1y,,,none,0.0,0.0,48,4442.196719082181,2.9684425699696386,-0.0004356645123982965,1.8713055860056933,-1.423735681729561,1.0,1.0,1.0,1.0
