Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y_none,PAC,1.0,0.5,27000,1y,25.0,0.75,none,0.0,0.0,48,1487.4500737501698,0.4811379154450068,-0.029693794402859797,0.285043030729645,0.8140332337586682,0.9396447950347725,0.9413557471495679,0.9242214496868094,0.9350739972903832
Persistence_P,PAC,1.0,0.5,0,1y,,,none,0.0,0.0,48,1580.1147209800115,0.5111116779197407,-0.0007617216845392141,0.3033518966271682,0.7901409113957288,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,1.0,27000,1y,25.0,1.0,none,0.0,0.0,48,1929.343278376354,0.6240748644392801,0.0139635666703245,0.40824123365722303,0.6871259407080034,0.8322607680313865,0.8291007264316856,0.832738965374533,0.8313668199458683
Persistence_P,PAC,1.0,1.0,0,1y,,,none,0.0,0.0,48,2327.031224155276,0.7527129630258516,-0.005855833320150127,0.49052081912123396,0.5448495614530815,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,3.0,27000,1y,25.0,1.0,none,0.0,0.0,48,2591.976070604013,0.8384133259340679,0.01710574553362303,0.5948165117519191,0.43530684989092316,0.6183030135192362,0.6335889046012708,0.6577584260747649,0.6365501147317573
Persistence_P,PAC,1.0,3.0,0,1y,,,none,0.0,0.0,48,4090.9429628272787,1.3232765281167556,-0.11492079917377028,0.9620145765849701,-0.4066867381522561,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,6.0,27000,1y,25.0,1.0,none,0.0,0.0,48,2810.632785664738,0.9091411022399501,0.025155859523036235,0.6613897960616486,0.3360142483730052,0.6053147566024839,0.5923643469612813,0.6018711823336415,0.5998500952991356
Persistence_P,PAC,1.0,6.0,0,1y,,,none,0.0,0.0,48,4744.770342919456,1.5347667477012665,-0.4480408322332382,1.092637819989559,-0.8922605580056273,1.0,1.0,1.0,1.0
ELM_rolling_1y_none,PAC,1.0,10.0,27000,1y,25.0,1.0,none,0.0,0.0,48,2827.794882126259,0.9146924383566266,0.028509363183861953,0.6640612238972385,0.32788072168081817,0.6232608406378254,0.5879519017855022,0.5895530929563081,0.6002552784598785
Persistence_P,PAC,1.0,10.0,0,1y,,,none,0.0,0.0,48,4809.568390779525,1.5557266429088388,-0.8064394170875724,1.0654627735277884,-0.9442976598359956,1.0,1.0,1.0,1.0
