Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,PAC,1.0,0.5,27000,1y,10.0,0.75,336,1496.9222202403314,0.4435617606872927,-0.031768804498626006,0.2667968656919102,0.8295903073427024,0.9369721162578383,0.9351819015942737,0.914538398506499,0.928897472119537
Persistence_P,PAC,1.0,0.5,0,1y,,,336,1600.6749250476485,0.47430533025833815,-0.0006400359796877508,0.2847436557210123,0.805149238973701,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,1.0,27000,1y,25.0,1.0,336,1982.7869898017686,0.5875311865723574,0.001320586001494812,0.38319349373102807,0.7010160025281557,0.818413069703077,0.8266866921117697,0.8335071784317697,0.8262023134155388
Persistence_P,PAC,1.0,1.0,0,1y,,,336,2398.474547517806,0.7107059931877093,-0.00509631604065089,0.468215266735723,0.562512094559064,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,3.0,27000,1y,10.0,1.0,336,2700.4413790871404,0.8001835476451166,0.0052106238688312675,0.5705289317133775,0.4454185598451458,0.6099585324461353,0.6300588106410948,0.6563291316150235,0.6321154915674179
Persistence_P,PAC,1.0,3.0,0,1y,,,336,4286.014786999643,1.2700140592128488,-0.10494374325105948,0.9353569158633915,-0.39702170332091824,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,6.0,27000,1y,25.0,1.0,336,2939.169509922355,0.8709224735606216,-0.0010174598978133888,0.6319260348446563,0.34303067741344206,0.5880642586251588,0.5868203247197673,0.5987425750888694,0.5912090528112652
Persistence_P,PAC,1.0,6.0,0,1y,,,336,5008.636180633209,1.4841382223366677,-0.4278078341591507,1.07458670642906,-0.9078085718886117,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,10.0,27000,1y,25.0,1.0,336,2975.988869010303,0.8818326327683631,-0.0020627793623302984,0.639407620405138,0.3264676994169404,0.5974155240386914,0.5779141176820506,0.5850884409893101,0.5868060275700174
Persistence_P,PAC,1.0,10.0,0,1y,,,336,5149.534814872951,1.5258887190804336,-0.7915729237454943,1.070289596899941,-1.0166559884149455,1.0,1.0,1.0,1.0
