Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m_none,PAC,1.0,0.5,27000,6m,25.0,0.75,none,0.0,0.0,48,1502.9631042717078,0.4861558365833946,-0.03895520415166907,0.28867054564305517,0.8101340079272221,0.9516029036002467,0.9511734080545411,0.928112821769695,0.9436297111414943
Persistence_P,PAC,1.0,0.5,0,6m,,,none,0.0,0.0,48,1580.1147209800115,0.5111116779197407,-0.0007617216845392141,0.3033518966271682,0.7901409113957288,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,1.0,27000,6m,50.0,1.0,none,0.0,0.0,48,1956.8431424890136,0.6329701057167418,0.011648066764930796,0.4166132089105996,0.6781432856672871,0.8493282908092676,0.8409183006125573,0.838366537973182,0.8428710431316689
Persistence_P,PAC,1.0,1.0,0,6m,,,none,0.0,0.0,48,2327.031224155276,0.7527129630258516,-0.005855833320150127,0.49052081912123396,0.5448495614530815,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,3.0,27000,6m,100.0,1.0,none,0.0,0.0,48,2626.7930598907656,0.8496754005025706,0.006842434039816876,0.6068290459854538,0.4200343601240336,0.6307898661365612,0.6420996537373796,0.6651066273641065,0.6459987157460159
Persistence_P,PAC,1.0,3.0,0,6m,,,none,0.0,0.0,48,4090.9429628272787,1.3232765281167556,-0.11492079917377028,0.9620145765849701,-0.4066867381522561,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,6.0,27000,6m,200.0,1.0,none,0.0,0.0,48,2834.5082937370817,0.9168639914897088,0.01671445991575839,0.666756999961575,0.3246856034114527,0.6102269093778452,0.5973963098060104,0.611074267467471,0.6062324955504422
Persistence_P,PAC,1.0,6.0,0,6m,,,none,0.0,0.0,48,4744.770342919456,1.5347667477012665,-0.4480408322332382,1.092637819989559,-0.8922605580056273,1.0,1.0,1.0,1.0
ELM_rolling_6m_none,PAC,1.0,10.0,27000,6m,200.0,0.75,none,0.0,0.0,48,2885.440968395191,0.9333389248978988,-0.10182186979502805,0.6474405123613239,0.30019839916167335,0.6076613171735915,0.5999376106028351,0.6187132154331534,0.6087707144031934
Persistence_P,PAC,1.0,10.0,0,6m,,,none,0.0,0.0,48,4809.568390779525,1.5557266429088388,-0.8064394170875724,1.0654627735277884,-0.9442976598359956,1.0,1.0,1.0,1.0
