Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,PAC,1.0,0.5,27000,6m,25.0,0.75,336,1511.8020697605536,0.44797089575303584,-0.027516799719359563,0.26995633283763887,0.8261856237769428,0.9480679460761653,0.9444778862363642,0.9205438585974396,0.9376965636366563
Persistence_P,PAC,1.0,0.5,0,6m,,,336,1600.6749250476485,0.47430533025833815,-0.0006400359796877508,0.2847436557210123,0.805149238973701,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,1.0,27000,6m,50.0,1.0,336,1979.7592133578344,0.5866340084609767,0.007011080197517041,0.38517436782773806,0.701928420787866,0.8226437606639254,0.8254243162207819,0.8236009393052472,0.8238896720633182
Persistence_P,PAC,1.0,1.0,0,6m,,,336,2398.474547517806,0.7107059931877093,-0.00509631604065089,0.468215266735723,0.562512094559064,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,3.0,27000,6m,100.0,1.0,336,2748.9130656505104,0.8145464760223031,0.00732801497265297,0.5872235487470414,0.42533091547671253,0.6278069245951939,0.6413680778677023,0.6639910042306729,0.6443886688978564
Persistence_P,PAC,1.0,3.0,0,6m,,,336,4286.014786999643,1.2700140592128488,-0.10494374325105948,0.9353569158633915,-0.39702170332091824,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,6.0,27000,6m,100.0,1.0,336,2977.9501737973937,0.8824137984380575,0.01182237894430808,0.639958652101272,0.3255796333103832,0.5955393345855796,0.5945630839213623,0.6097559129772268,0.5999527771613896
Persistence_P,PAC,1.0,6.0,0,6m,,,336,5008.636180633209,1.4841382223366677,-0.4278078341591507,1.07458670642906,-0.9078085718886117,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,10.0,27000,6m,100.0,0.75,336,3048.562659185407,0.9033373961518948,-0.09196481576763893,0.6298915951743268,0.2932170332228077,0.5885244488956889,0.5920073887801497,0.6139370198844581,0.5981562858534323
Persistence_P,PAC,1.0,10.0,0,6m,,,336,5149.534814872951,1.5258887190804336,-0.7915729237454943,1.070289596899941,-1.0166559884149455,1.0,1.0,1.0,1.0
