Method,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_m_est,c_welsch,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,1.0,0.5,0,,,,,1576.0825243771642,0.4721360057427255,-0.015859377435912984,0.2810742151119933,0.8064350171603545,0.9287752983192172,0.9416685862409182,0.9499500834017921,0.9401313226539759
ELM,1.0,0.5,27000,500.0,100.0,10.0,893.5782491608452,1574.4002588901283,0.47163206125037616,-0.021327162670854417,0.2875610407975844,0.8068480081075243,0.950210218839689,0.9406634760779938,0.9216518713304742,0.9375085220827191
Persistence_P,1.0,0.5,0,,,,,1673.7125432513221,0.5013823468694679,-0.0007549514156237795,0.30262886579848397,0.78171161492394,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,,,,,3670.4805017005033,1.099540142362954,-0.0036889476910256075,0.6672613692302175,-0.04981972612290542,2.2048834220412297,2.193017263627778,1.9896154715569634,2.129172052408657
BLEND_opti,1.0,1.0,0,,,,,2140.6619391534095,0.6412631077149782,-0.03678483743011601,0.3984014086987678,0.6429203824161127,0.813764168015981,0.8695458371014337,0.9042540756055679,0.8625213602409941
ELM,1.0,1.0,27000,500.0,100.0,10.0,1162.6703993281806,2074.923496342581,0.6215703027175263,-0.037795673574841676,0.3972376001570044,0.6645150336351027,0.8113870035054155,0.8428426065547677,0.8582973844788343,0.8375089981796725
Persistence_P,1.0,1.0,0,,,,,2461.816097342432,0.737469010089889,-0.0054916295831735195,0.4895784606369445,0.5277411551992877,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,,,,,3670.4805017005033,1.099540142362954,-0.0036889476910256075,0.6672613692302175,-0.04981972612290542,1.3629304041728194,1.490964538603368,1.468002158524291,1.4406323671001593
BLEND_opti,1.0,3.0,0,,,,,2983.7587345159213,0.8938237111480073,-0.07554125549819471,0.5831196102763706,0.3062607077956768,0.6064204967947993,0.6910081180316532,0.7487584649768895,0.6820623599344473
ELM,1.0,3.0,27000,500.0,100.0,10.0,1762.2108338764965,2798.2940134379173,0.8382653433204335,-0.047433846314165404,0.5907528381833442,0.38982336588035227,0.61435874098676,0.6480563785391606,0.6790522419863873,0.6471557871707693
Persistence_P,1.0,3.0,0,,,,,4317.9792778921355,1.2935068168143629,-0.10729276219860683,0.9615763539629941,-0.4528808309954888,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,,,,,3670.4805017005033,1.099540142362954,-0.0036889476910256075,0.6672613692302175,-0.04981972612290542,0.693924477739286,0.8500458815291686,0.9376171669864448,0.8271958420849664
BLEND_opti,1.0,6.0,0,,,,,3263.1569193353894,0.9775210689653342,-0.17261238045984656,0.6344068670443517,0.1702546950817967,0.5800387886997568,0.6508233248013837,0.7014886942466707,0.6441169359159371
ELM,1.0,6.0,27000,500.0,100.0,10.0,1912.8473864064497,2994.5680202688627,0.8970617731919617,-0.06723017876090207,0.6462391846140105,0.30122517379731195,0.5908570876607862,0.5972543654726297,0.6123440058081392,0.600151819647185
Persistence_P,1.0,6.0,0,,,,,5013.890552142134,1.5019760843138974,-0.4260992439272847,1.0937317976035172,-0.958928502450551,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,,,,,3670.4805017005033,1.099540142362954,-0.0036889476910256075,0.6672613692302175,-0.04981972612290542,0.6100776906114078,0.7320623502905,0.8008697807018672,0.7143366072012584
BLEND_opti,1.0,10.0,0,,,,,3389.6640671618993,1.0152690854889856,-0.25462793495205804,0.6439622271302512,0.10473153743087149,0.6019609504249473,0.6659043004658081,0.7151686360647952,0.6610112956518502
ELM,1.0,10.0,27000,500.0,100.0,10.0,1830.8624612457265,3005.638323183914,0.9002460453978173,-0.06943463511272505,0.6499454122523302,0.29609604411270485,0.6075538930711416,0.5904618998804796,0.5979416861661322,0.598652493039251
Persistence_P,1.0,10.0,0,,,,,5090.317129339439,1.5246471374021655,-0.7936837569481857,1.0697740886275988,-1.018968981701391,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,,,,,3670.7461041763972,1.0994585204927998,-0.0037573145442782755,0.667211667730647,-0.04990175075578884,0.6236939881266009,0.721123264210602,0.7816585330104359,0.7088252617825463
