Method,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_mae,delta_mae,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,1.0,0.5,0,,,,,1128.351846556105,0.6592696936477194,-0.015828342496210707,0.28152873098288095,0.863963982299859,0.9266064009478867,0.9415942509898019,0.9499479371458078,0.9393828630278321
ELM,1.0,0.5,27000,500.0,100.0,10.0,100.0,1139.7555636791958,0.6659326198591946,0.020851676796189184,0.32390761339079943,0.8612003842641236,1.066089655701672,0.9511104976426427,0.9239698627135458,0.9803900053526201
Persistence_P,1.0,0.5,0,,,,,1198.3419029693353,0.7001632528604507,-0.00016556442259279194,0.30382774249658395,0.8465643372533291,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,,,,,2627.7077865578945,1.5353084348000055,-0.003716643207428648,0.6673438551021244,0.26223345443350765,2.1964546411018655,2.1927863659334426,1.989609935020365,2.1262836473518907
BLEND_opti,1.0,1.0,0,,,,,1532.5941076823665,0.895419009360991,-0.03629775482018116,0.39917343854502996,0.7490392574167499,0.805913008287573,0.8689400451342968,0.9042063452241836,0.8596864662153512
ELM,1.0,1.0,27000,500.0,100.0,10.0,100.0,1495.8582916306266,0.8739560872133522,0.026359656759869666,0.4425142035199736,0.7609259746426771,0.8934160405778873,0.8481118157302857,0.8533783899217058,0.8649687487432929
Persistence_P,1.0,1.0,0,,,,,1763.7512694509323,1.0304727171626689,-0.0003020374220943455,0.4953058635859534,0.6676266713896553,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,,,,,2627.766505628897,1.535274127381595,-0.0037166432074286506,0.6673438551021244,0.26222313419639975,1.3473368763911597,1.4898736296569404,1.467923464033795,1.4350446566939652
BLEND_opti,1.0,3.0,0,,,,,2136.316216324284,1.2480324406870429,-0.07453217450597628,0.5842880734247681,0.5124087620519173,0.5467259237433355,0.670409422865864,0.7394109163714832,0.6521820876602274
ELM,1.0,3.0,27000,500.0,100.0,25.0,100.0,2008.856097899788,1.173570447901497,0.02693594300292257,0.6495934783997451,0.5688558737733651,0.607833037655655,0.6304104452901538,0.6614763981207904,0.6332399603555331
Persistence_P,1.0,3.0,0,,,,,3186.584411645001,1.8615974031987168,-0.0004859978916418932,1.0687038021249315,-0.08486493715689836,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,,,,,2627.883955581159,1.5352055102447586,-0.0037166432074286484,0.6673438551021242,0.2622024900880937,0.6244422952133483,0.8246710634677882,0.9259104237328873,0.791674594138008
BLEND_opti,1.0,6.0,0,,,,,2336.471244259106,1.364779652635782,-0.17180253709577142,0.635323199465122,0.4168158749887194,0.41811503271386047,0.5595206501296943,0.637796578054591,0.538477420299382
ELM,1.0,6.0,27000,500.0,100.0,25.0,10.0,2133.293280073907,1.246099334157542,0.010928265873089935,0.6968361523179138,0.5138324774286847,0.45859756241846505,0.5108651116152545,0.5440586766797795,0.5045071169044997
Persistence_P,1.0,6.0,0,,,,,4175.844526412961,2.439194428873058,-0.0004907038571419462,1.5194937989706512,-0.8628309901327029,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,,,,,2628.0601600417963,1.5351025787886934,-0.003716643207428647,0.6673438551021244,0.26217151483721013,0.43918827148501843,0.6293481817675076,0.7281538177242295,0.5988967569922519
BLEND_opti,1.0,10.0,0,,,,,2427.003405410688,1.4174484371808949,-0.2544499583889083,0.6441711766062909,0.37083309253565144,0.34580451264096046,0.5024434783934191,0.5913041953240311,0.4798507287861369
ELM,1.0,10.0,27000,500.0,100.0,25.0,100.0,2151.6765865641123,1.2566486755414885,0.006424865505583283,0.697709496474633,0.5054854336639605,0.37454499852737455,0.4454447266620181,0.48869269201492993,0.43622747240144083
Persistence_P,1.0,10.0,0,,,,,4830.4008506013815,2.821110230574068,-0.0004620534932163952,1.8628188848279044,-1.492249081969669,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,,,,,2628.255946180868,1.5349864261088932,-0.003788838644374409,0.6672908952316379,0.2621630308504801,0.35821565943233674,0.5441072133493128,0.6462782938552674,0.5162003888789722
