Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,PAC,1.0,0.5,27000,1y,10.0,336,1061.201731889245,0.6245335689431483,0.0003151941307090233,0.2759444865338158,0.880996644878077,0.9681744511328669,0.9344762065991515,0.9067212428878244,0.9364573002066144
Persistence_P,PAC,1.0,0.5,0,1y,,336,1135.6112915397673,0.6683247412109287,-0.0010195137122945498,0.2850152534090643,0.8637229543479304,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,1.0,27000,1y,25.0,336,1406.6918062926331,0.8278598006271551,0.0009403637800044258,0.38342770797102477,0.7908965389513043,0.8185602725151746,0.8266908229686234,0.8335072806388645,0.8262527920408874
Persistence_P,PAC,1.0,1.0,0,1y,,336,1701.5935912306884,1.0014140445569892,-0.005474101631172478,0.46841719644281504,0.6940327183296549,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,3.0,27000,1y,10.0,336,1915.819070820781,1.1274890398255812,0.004828924519176056,0.5706920107970723,0.6121424142306906,0.6101168708903181,0.6300620436678082,0.6563292015948279,0.6321693720509848
Persistence_P,PAC,1.0,3.0,0,1y,,336,3040.683199495939,1.7894889101112632,-0.10528361469988186,0.9353814621849177,0.02297504897495295,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,6.0,27000,1y,25.0,336,2085.1811765478774,1.2271612483746241,-0.001396794314720301,0.6320658001732242,0.5405366261838412,0.5882098259188346,0.5868230883835782,0.5987426317584879,0.5912585153536335
Persistence_P,PAC,1.0,6.0,0,1y,,336,3553.3386770646184,2.091194557042526,-0.4280251074075559,1.0745583843076452,-0.33424785064082085,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,10.0,27000,1y,25.0,336,2111.302139665208,1.2425338376097135,-0.0024417168497278085,0.6395445448202941,0.5289531744737893,0.5975583578090615,0.5779168144752213,0.5850884955190659,0.5868545559344497
Persistence_P,PAC,1.0,10.0,0,1y,,336,3653.2976490438004,2.150021952100493,-0.7916520678348702,1.0702629064802547,-0.4103711657453273,1.0,1.0,1.0,1.0
