Method,FH_steps,t_calib_s,t_refit_s
huber,1,71.04771113395691,0.06235077381134033
mae,1,211.8993275165558,0.061504793167114255
m_estimator,1,71.21759867668152,0.06250392198562622
huber,2,73.60395455360413,0.06190876960754395
mae,2,219.34264588356018,0.061341285705566406
m_estimator,2,73.59200692176819,0.06193829774856567
huber,6,72.20366525650024,0.06223963499069214
mae,6,215.72646069526672,0.0626045823097229
m_estimator,6,72.31983160972595,0.062180960178375246
huber,12,71.75371551513672,0.062291300296783446
mae,12,213.5602788925171,0.061396586894989016
m_estimator,12,71.57327890396118,0.062237095832824704
huber,20,71.70102643966675,0.06182543039321899
mae,20,213.49283742904663,0.06139171123504639
m_estimator,20,71.79835796356201,0.06241835355758667
