Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,PAC,1.0,0.5,0,71.4506246342313,0.7103725973060402,0.00020033858663434903,0.2986379664542276,0.7886610372953731,1.4372269125803365,1.5435320036343,1.2719141380013308,1.4175576847386557
Persistence_P,PAC,1.0,0.5,0,46.283020501651144,0.46015258303529244,-0.0010057385951016823,0.20719425879660233,0.9113230188914881,0.9971443631573674,0.9998418311228463,0.9999902504938738,0.9989921482580293
Persistence_Pcyclic,PAC,1.0,0.5,0,92.96111969132774,0.924233096374758,0.0011529346076856427,0.38131263589250375,0.6422577748963955,1.8351075347804129,2.0082184595556236,1.6247265901050254,1.8226841948136874
BLEND_corre,PAC,1.0,1.0,0,74.14666006802152,0.7371769773004052,-0.0006257943541838229,0.31762547220811954,0.7724112985367166,0.8906343939691993,1.0719718552694448,1.0554315682888367,1.0060126058424936
Persistence_P,PAC,1.0,1.0,0,69.0699162360481,0.6867032449819254,-0.00509644670443438,0.35204835135650314,0.8025098814660933,0.9871575093725737,0.9985750697730287,0.9998604727583814,0.9951976839679947
Persistence_Pcyclic,PAC,1.0,1.0,0,92.96111969132774,0.924233096374758,0.0011529346076856427,0.38131263589250375,0.6422577748963955,1.0692157213335627,1.3439810215594052,1.3043912019247546,1.2391959816059075
BLEND_corre,PAC,1.0,3.0,0,83.9965555755474,0.8350106870731377,-0.034066992194860694,0.412386985935382,0.7079470261342926,0.4720067712532363,0.5803758124797094,0.6759159416541831,0.5760995084623762
Persistence_P,PAC,1.0,3.0,0,138.5796354036349,1.3776216867447424,-0.10158723347888513,0.7726799527208801,0.2050542226280161,0.8843881648414418,0.9575186498949765,0.9801459599786049,0.940684258238341
Persistence_Pcyclic,PAC,1.0,3.0,0,92.96642978299467,0.9241803056795057,0.0011529346076856427,0.38131263589250375,0.6422406573613134,0.4364399271656053,0.6423533304304991,0.7730003540731155,0.6172645372230733
BLEND_corre,PAC,1.0,6.0,0,101.27683248828943,1.006621576674748,-0.19998516423403623,0.5368472870332498,0.575462901536091,0.3559353506265238,0.45559220370096587,0.5304798020900442,0.4473357854725113
Persistence_P,PAC,1.0,6.0,0,188.11560233074346,1.869738809585979,-0.4468939525587303,1.0620046757466035,-0.464687793897099,0.7041201767411804,0.8462350145706606,0.8983306532843583,0.8162286148653998
Persistence_Pcyclic,PAC,1.0,6.0,0,92.97439662695271,0.9241011139820972,0.0011529346076856466,0.38131263589250375,0.6422149706507863,0.25281425469197966,0.41824382937666327,0.5373033078237573,0.4027871306308001
BLEND_corre,PAC,1.0,10.0,0,112.26584099764551,1.1155897044254153,-0.42979472470023394,0.588473778615924,0.4784054699803858,0.3050107639277987,0.43353768571041484,0.5117668550929244,0.41677176824371265
Persistence_P,PAC,1.0,10.0,0,189.23500686012346,1.8804350770814966,-0.8803712637524692,1.0490403978288059,-0.48197446518015874,0.5437262028657323,0.7307699848901769,0.8071710344769295,0.6938890740776129
Persistence_Pcyclic,PAC,1.0,10.0,0,92.98502227231619,0.9239955144943813,0.0011529346076856431,0.38131263589250375,0.6421807022611489,0.19763745233040012,0.3590808299607072,0.4773728649195171,0.34469704907020815
