Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_none,PAC,1.0,0.5,27000,1m,25.0,0.5,none,0.0,0.0,48,43.79804657357578,0.43548476570245015,-0.03595359463276733,0.18005317007833632,0.9205609915018534,0.8665586173479819,0.9459304336927453,0.9426761439518618,0.918388398330863
Persistence_P,PAC,1.0,0.5,0,1m,,,none,0.0,0.0,48,46.30155137581941,0.46037715902890924,-0.00020155453600892862,0.2077795621366867,0.911219943267266,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,1.0,27000,1m,25.0,0.5,none,0.0,0.0,48,54.24571053886316,0.5393660766284513,-0.049860639354681255,0.23620726375913795,0.8781416938119656,0.6621515726863441,0.7838681951523632,0.8563779048433557,0.767465890894021
Persistence_P,PAC,1.0,1.0,0,1m,,,none,0.0,0.0,48,69.20259155089107,0.6880826138425132,-0.00036557390700694633,0.3567268787127497,0.8016788418616818,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,3.0,27000,1m,25.0,0.5,none,0.0,0.0,48,73.40563436455852,0.7298735442181987,-0.0816819722178321,0.3501357510488436,0.7768570731874476,0.400474200959551,0.5069598391939084,0.6092968627498871,0.5055769676344489
Persistence_P,PAC,1.0,3.0,0,1m,,,none,0.0,0.0,48,144.79575834108903,1.439706832357242,-0.0003655739070069467,0.8743028894493212,0.1317675521321633,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,6.0,27000,1m,25.0,0.25,none,0.0,0.0,48,86.73344952049163,0.8623922502923823,-0.1614846044637652,0.4249110012305576,0.6884716525004487,0.2815847398995249,0.39016688726530985,0.4785413453917081,0.3834309908521809
Persistence_P,PAC,1.0,6.0,0,1m,,,none,0.0,0.0,48,222.2983352800867,2.2103163503620533,-0.0003655739070069431,1.5089986814703606,-1.0464293396891189,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,10.0,27000,1m,400.0,0.5,none,0.0,0.0,48,82.12083879761758,0.8165289788208342,-0.1314011267268783,0.41610847247427324,0.7207256265195232,0.2157461755680264,0.31729929432949944,0.4044948503124034,0.3125134400699764
Persistence_P,PAC,1.0,10.0,0,1m,,,none,0.0,0.0,48,258.8119175340466,2.5733715561715362,-0.00036557390700695034,1.9286945475567472,-1.773913241628557,1.0,1.0,1.0,1.0
