Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_none,PAC,1.0,0.5,27000,1m,25.0,0.5,none,0.0,0.0,48,61.81522333380323,0.3080043096282871,-0.0398182672562182,0.17583186630855996,0.8640775178366329,0.8496664039285841,0.9452417679010456,0.9426396348652925,0.912515935564974
Persistence_P,PAC,1.0,0.5,0,1m,,,none,0.0,0.0,48,65.39620384218408,0.32584712196142723,-0.0007031889347013261,0.20694223697155725,0.8478732843010595,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,1.0,27000,1m,25.0,0.5,none,0.0,0.0,48,76.5498113991119,0.381421768628728,-0.05445502654589154,0.23124641375937122,0.7915563537277794,0.6570729550067956,0.7841136884017107,0.856368662096009,0.7658517685015052
Persistence_P,PAC,1.0,1.0,0,1m,,,none,0.0,0.0,48,97.62590875711703,0.4864368193931097,-0.004807868530412959,0.35193415281713974,0.6609758852199819,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,3.0,27000,1m,25.0,0.5,none,0.0,0.0,48,103.54994113072496,0.5159542651458446,-0.08853441907393658,0.3429664634186374,0.6185829312610618,0.4436881710440786,0.5286902777119156,0.6214823546573264,0.5312869344711069
Persistence_P,PAC,1.0,3.0,0,1m,,,none,0.0,0.0,48,195.8612546817998,0.9759102576631629,-0.10155150251304512,0.7729898739729194,-0.3645752061914884,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,6.0,27000,1m,25.0,0.25,none,0.0,0.0,48,122.47260233906962,0.6102394733434023,-0.16545975145040573,0.42064483731391933,0.4664460941399726,0.39601619023133877,0.4608981601286499,0.5327052610458771,0.46320653713528864
Persistence_P,PAC,1.0,6.0,0,1m,,,none,0.0,0.0,48,265.7259519215351,1.3240223679197742,-0.44743821241314824,1.0621910105952823,-1.5117034063503505,1.0,1.0,1.0,1.0
ELM_rolling_1m_none,PAC,1.0,10.0,27000,1m,400.0,0.5,none,0.0,0.0,48,115.89016879953607,0.5774414377030549,-0.14030283115754053,0.40691705968232267,0.5222578030137563,0.38792466894721594,0.4336595339702765,0.5010489355298458,0.4408777128157794
Persistence_P,PAC,1.0,10.0,0,1m,,,none,0.0,0.0,48,267.23768237845155,1.3315548084840063,-0.880569907512545,1.048958966148376,-1.5403631532864388,1.0,1.0,1.0,1.0
