Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,PAC,1.0,0.5,27000,6m,10.0,0.75,336,40.550748399563886,0.4031968214878616,-0.018994283056970977,0.15616187893718533,0.9319039249424269,0.7537361260534546,0.8759354208224055,0.9121617670673761,0.8472777713144121
Persistence_P,PAC,1.0,0.5,0,6m,,,336,46.294221509493546,0.4603042780360507,-0.0010075118199600426,0.20718375242917625,0.9112480500766514,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,1.0,27000,6m,25.0,0.75,336,50.41981916477838,0.5013251698074713,-0.025510864546620653,0.21400337393356197,0.8947245999963372,0.6077370701394563,0.7296253019938825,0.7944848676150593,0.7106157465827995
Persistence_P,PAC,1.0,1.0,0,6m,,,336,69.10371532757114,0.687099485773692,-0.00511094138872893,0.3521315128669953,0.8022451570212193,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,3.0,27000,6m,25.0,0.5,336,71.05865804516901,0.7065375164151876,-0.08251460795336846,0.3324151833440817,0.7908979282135977,0.4299997546758912,0.5125725831567942,0.6090814006084888,0.5172179128137248
Persistence_P,PAC,1.0,3.0,0,6m,,,336,138.6314063220826,1.378414569237817,-0.1018251133521712,0.7730590069630086,0.20412000124250484,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,6.0,27000,6m,25.0,0.5,336,79.15615568370691,0.7870510812375587,-0.10104556672961625,0.38956320801700356,0.7405260753125205,0.3667609218935264,0.42086337203511276,0.4916589729208515,0.4264277556164968
Persistence_P,PAC,1.0,6.0,0,6m,,,336,188.08041027885622,1.8700869059517367,-0.447606487940119,1.062172071129478,-0.464911740973144,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,10.0,27000,6m,25.0,0.5,336,79.1228372552398,0.7867197955033833,-0.10318513013221585,0.3915507098746788,0.7407444649965804,0.37328083181535426,0.4183064975906859,0.4836807602742245,0.4250893632267549
Persistence_P,PAC,1.0,10.0,0,6m,,,336,189.15039023051878,1.880725735877024,-0.8806062783984819,1.0489440563301193,-0.4816267693557217,1.0,1.0,1.0,1.0
