Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_l3,delta_l3,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,PAC,1.0,0.5,0,,,,,60.85776082074714,0.30313925602195513,-0.008857074797058837,0.18301048816587273,0.8683080130653,0.8843123016047629,0.9307221283114475,0.939221475128168,0.9180853016814595
ELM,PAC,1.0,0.5,27000,500.0,100.0,10.0,500.0,56.15570263886675,0.2797177827405846,-0.005122778949991675,0.14921579536778498,0.8878717243476661,0.721015307701242,0.858811667928685,0.8961448822838528,0.8253239526379267
Persistence_P,PAC,1.0,0.5,0,,,,,65.38768013516308,0.325703286513583,-0.0007008858831585252,0.20695232649569992,0.8479735091225706,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,0.5,0,,,,,131.34921412958852,0.6542650027428846,0.0014584460595290134,0.38112383748987044,0.3865454815998096,1.8416020923436658,2.0087761770730532,1.6247535377239262,1.8250439357135484
BLEND_opti,PAC,1.0,1.0,0,,,,,82.09721646148147,0.40893534011068416,-0.020213412301617956,0.2629743969684171,0.7603462235029415,0.7474035287147835,0.8412542051494993,0.8986061814844364,0.8290879717829064
ELM,PAC,1.0,1.0,27000,500.0,100.0,10.0,500.0,70.18290310055363,0.349588823913972,-0.0034119657429140665,0.20687247944068665,0.8248580948022197,0.5879554166123444,0.7191676515688186,0.7946792208748165,0.7006007630186598
Persistence_P,PAC,1.0,1.0,0,,,,,97.58907112611932,0.48610198630509344,-0.004792842311434661,0.3518506226758406,0.6613666080406947,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,1.0,0,,,,,131.34921412958852,0.6542650027428846,0.0014584460595290134,0.38112383748987044,0.3865454815998096,1.083197848539831,1.345941841785124,1.3045765342904894,1.244572074871815
BLEND_opti,PAC,1.0,3.0,0,,,,,112.31945085162806,0.559475641377025,-0.0569246826269375,0.3642698939221733,0.5514226354476814,0.47147929571537456,0.5736471313716338,0.6743238092318122,0.5731500787729402
ELM,PAC,1.0,3.0,27000,500.0,100.0,10.0,500.0,94.94744312935495,0.4729437442858944,0.0037571479840520718,0.31930720481553193,0.6794513441446539,0.41328349818400406,0.48492338565806226,0.5777389448640525,0.49198194290203956
Persistence_P,PAC,1.0,3.0,0,,,,,195.7988538756635,0.9752958060459159,-0.10131307417797668,0.7726105838210082,-0.36316272732388266,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,3.0,0,,,,,131.34921412958852,0.6542650027428846,0.0014584460595290134,0.38112383748987044,0.3865454815998096,0.4932935756652357,0.6708375025167314,0.788657574564551,0.650929550915506
BLEND_opti,PAC,1.0,6.0,0,,,,,124.5090701206904,0.6201934868347028,-0.09299229673442484,0.3960790738738662,0.44877438395976754,0.37294752674665493,0.4684887193887817,0.561560508085329,0.46766558474025527
ELM,PAC,1.0,6.0,27000,500.0,100.0,10.0,500.0,104.75411110505674,0.5217918450723288,-0.0022297116198796278,0.3730683028856656,0.6098159034016278,0.3512806155295377,0.39415698241700164,0.46250667305549686,0.4026480903340121
Persistence_P,PAC,1.0,6.0,0,,,,,265.76748802646165,1.3238173325578557,-0.44672516692595043,1.0620235970700636,-1.5114880456156787,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,6.0,0,,,,,131.34921412958852,0.6542650027428846,0.0014584460595290134,0.38112383748987044,0.3865454815998096,0.3588656961496186,0.4942260436179104,0.5981120960622682,0.4837346119432658
BLEND_opti,PAC,1.0,10.0,0,,,,,127.00808321413912,0.6326413482039123,-0.11332659227969455,0.39848346240003085,0.42642510312262716,0.3798497929306586,0.4751190346865925,0.5645324925973895,0.4731671067382135
ELM,PAC,1.0,10.0,27000,500.0,100.0,10.0,500.0,106.19677165547944,0.5289778972709215,-0.004024669781871136,0.3836801948590473,0.5989947659028618,0.36573874782913096,0.3972669011208798,0.46236225209668136,0.4084559670155641
Persistence_P,PAC,1.0,10.0,0,,,,,267.31844851873535,1.3315428387777135,-0.8803347578924454,1.049055362978107,-1.540886559208504,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,10.0,0,,,,,131.34921412958852,0.6542650027428846,0.0014584460595290134,0.38112383748987044,0.3865454815998096,0.3633019294691163,0.49135858320823206,0.5914137866176369,0.4820247664316617
