Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,PAC,1.0,0.5,27000,1y,10.0,336,39.492592787336925,0.39267556118248975,-0.007098925381960097,0.15062742506545068,0.9354114362619562,0.7270233466639292,0.8530782352445042,0.8898799684566793,0.8233271834550376
Persistence_P,PAC,1.0,0.5,0,1y,,336,46.294221509493546,0.4603042780360507,-0.0010075118199600426,0.20718375242917625,0.9112480500766514,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,1.0,27000,1y,10.0,336,49.29205274461564,0.49011176798539174,-0.0034923912255786335,0.2071591434592623,0.8993814297525987,0.5883004953819883,0.7133053919164459,0.7843979562739635,0.6953346145241325
Persistence_P,PAC,1.0,1.0,0,1y,,336,69.10371532757114,0.687099485773692,-0.00511094138872893,0.3521315128669953,0.8022451570212193,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,3.0,27000,1y,50.0,336,66.96602944655753,0.6658444365679062,-0.004865027514930648,0.3197538903043845,0.8142907945878936,0.4136215831189261,0.48305092780329467,0.5793152233976593,0.49199591143995997
Persistence_P,PAC,1.0,3.0,0,1y,,336,138.6314063220826,1.378414569237817,-0.1018251133521712,0.7730590069630086,0.20412000124250484,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,6.0,27000,1y,100.0,336,74.2668315579318,0.7384364434185031,-0.006889159916634275,0.3727658218571452,0.7715905201074394,0.35094673639908325,0.39486744764019044,0.46743602486649716,0.4044167363019236
Persistence_P,PAC,1.0,6.0,0,1y,,336,188.08041027885622,1.8700869059517367,-0.447606487940119,1.062172071129478,-0.464911740973144,1.0,1.0,1.0,1.0
ELM_rolling_1y,PAC,1.0,10.0,27000,1y,100.0,336,74.75708657719984,0.7433110579025474,-0.006934697810302734,0.37771498440323226,0.7685649838680928,0.3600906856031218,0.3952256534395351,0.4627101067368465,0.40600881525983445
Persistence_P,PAC,1.0,10.0,0,1y,,336,189.15039023051878,1.880725735877024,-0.8806062783984819,1.0489440563301193,-0.4816267693557217,1.0,1.0,1.0,1.0
