Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,PAC,1.0,0.5,27000,6m,10.0,336,39.673518266834584,0.39447450648285337,-0.0002447026989852201,0.1547457312087144,0.9348182878440556,0.7469009002605681,0.8569864007476342,0.8837436812646379,0.82921032742428
Persistence_P,PAC,1.0,0.5,0,6m,,336,46.294221509493546,0.4603042780360507,-0.0010075118199600426,0.20718375242917625,0.9112480500766514,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,1.0,27000,6m,25.0,336,49.80488640078132,0.49521088226265686,-0.0006300486312151507,0.21425594535715795,0.8972768708152078,0.6084543346112997,0.7207266087603551,0.7862218568579374,0.7051342667431975
Persistence_P,PAC,1.0,1.0,0,6m,,336,69.10371532757114,0.687099485773692,-0.00511094138872893,0.3521315128669953,0.8022451570212193,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,3.0,27000,6m,25.0,336,68.38337215145184,0.6799371006031412,0.00471982528942898,0.32882948819511226,0.8063464962425432,0.42536143455197717,0.4932747489596739,0.5843049947903359,0.500980392767329
Persistence_P,PAC,1.0,3.0,0,6m,,336,138.6314063220826,1.378414569237817,-0.1018251133521712,0.7730590069630086,0.20412000124250484,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,6.0,27000,6m,50.0,336,76.02419783321123,0.7559099679364933,-0.0003136900864940832,0.3780737035933224,0.760652979467185,0.3559439321270155,0.4042111441616617,0.4777239535495975,0.412626343279425
Persistence_P,PAC,1.0,6.0,0,6m,,336,188.08041027885622,1.8700869059517367,-0.447606487940119,1.062172071129478,-0.464911740973144,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,10.0,27000,6m,50.0,336,75.9694853088327,0.7553659603214516,-0.0018060387718904706,0.3793829438686435,0.7609973584389493,0.3616808175604416,0.4016353612395312,0.47149210693838545,0.41160276191278605
Persistence_P,PAC,1.0,10.0,0,6m,,336,189.15039023051878,1.880725735877024,-0.8806062783984819,1.0489440563301193,-0.4816267693557217,1.0,1.0,1.0,1.0
