Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_6m,PAC,1.0,0.5,27000,6m,10.0,336,56.04044518140904,0.27923054707986256,5.985256066603913e-05,0.15448824156700103,0.8882870385691245,0.7465283251395138,0.856937282118812,0.8837401511894141,0.8290685861492465
Persistence_P,PAC,1.0,0.5,0,6m,,336,65.39620384218408,0.32584712196142723,-0.0007031889347013261,0.20694223697155725,0.8478732843010595,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,1.0,27000,6m,25.0,336,70.35696051003066,0.35056489131191776,-0.0003256107594194645,0.21401658430028012,0.8239181672131907,0.6081154175777884,0.7206791865576521,0.7862180296878929,0.7050042112744445
Persistence_P,PAC,1.0,1.0,0,6m,,336,97.62590875711703,0.4864368193931097,-0.004807868530412959,0.35193415281713974,0.6609758852199819,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,3.0,27000,6m,25.0,336,96.60810222437034,0.4813654343596696,0.005025892892265257,0.32862502965406243,0.6680080805290074,0.4251349735864397,0.49324764298749046,0.5843026110914434,0.5008950758884579
Persistence_P,PAC,1.0,3.0,0,6m,,336,195.8612546817998,0.9759102576631629,-0.10155150251304512,0.7729898739729194,-0.3645752061914884,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,6.0,27000,6m,50.0,336,107.40411122955341,0.5351582886283657,-9.155842457120815e-06,0.3778842463079272,0.5896615412693649,0.3557592208355727,0.4041912747057097,0.4777222200496466,0.412557571863643
Persistence_P,PAC,1.0,6.0,0,6m,,336,265.7259519215351,1.3240223679197742,-0.44743821241314824,1.0621910105952823,-1.5117034063503505,1.0,1.0,1.0,1.0
ELM_rolling_6m,PAC,1.0,10.0,27000,6m,50.0,336,107.3268063573698,0.5347731046477265,-0.001501959141740119,0.379193885416856,0.5902520167358116,0.3614954422947549,0.40161554090032026,0.47149037785872916,0.41153378701793475
Persistence_P,PAC,1.0,10.0,0,6m,,336,267.23768237845155,1.3315548084840063,-0.880569907512545,1.048958966148376,-1.5403631532864388,1.0,1.0,1.0,1.0
